id,source_group,asset_path,origin_library,origin_asset_path,selection_role,size_bytes,sha256
R037,R,assets/R037/isme-020-PMC13548325-f4.webp,scientific-figure-style-corpus,assets/raw/isme/isme-020-PMC13548325-f4.webp,bioinformatics_analysis_visual_reference,257830,0be1c00f7a234c6e0d2fc8dd6c10b44fc03363c91543c595deeabb82eb73ce93
S001,S,assets/S001/S15-001_fig5.jpg,scientific-figure-style-corpus,assets/stage1_5/S15-001/S15-001_fig5.jpg,bioinformatics_analysis_visual_reference,238738,db4891eb98d8b4de3b3a07d1f565ab151671324e727a956e8ddbf14f061bb50b
S002,S,assets/S002/S15-002_fig7.jpg,scientific-figure-style-corpus,assets/stage1_5/S15-002/S15-002_fig7.jpg,bioinformatics_analysis_visual_reference,172388,a37eafd285526e5e2942f64ed388946ea21007ca89ba6ca01733dd5ac9e6d0fa
S033,S,assets/S033/S15-036_fig3.jpg,scientific-figure-style-corpus,assets/stage1_5/S15-036/S15-036_fig3.jpg,bioinformatics_analysis_visual_reference,110127,d80cf641056c52efb4e3bd1a0e6c1d49cfbc7225dcfde40d0a837bc072c676d0
Z019,Z,assets/Z019/ZOT-3MNSQTVZ-9K59TG86-FIG4-P7.png,scientific-figure-style-corpus,assets/zotero/Bioresource-Technology/3MNSQTVZ/ZOT-3MNSQTVZ-9K59TG86-FIG4-P7.png,bioinformatics_analysis_visual_reference,1718744,7770d817969b13e3145fb4ac7fe3c67ca088478e1d9779328af660014ca94721
Z021,Z,assets/Z021/ZOT-JJWDZWKP-86WI2D4S-FIG6-P7.png,scientific-figure-style-corpus,assets/zotero/Bioresource-Technology/JJWDZWKP/ZOT-JJWDZWKP-86WI2D4S-FIG6-P7.png,bioinformatics_analysis_visual_reference,1015888,ad21bb8c0ee0329b3ae73cdd76aa6e52f21ef1211f88aec65f42c7ff8b11652e
Z052,Z,assets/Z052/ZOT-4WW3EAGK-YVETMRNQ-FIG5-P8.png,scientific-figure-style-corpus,assets/zotero/Environmental-Science-Technology/4WW3EAGK/ZOT-4WW3EAGK-YVETMRNQ-FIG5-P8.png,bioinformatics_analysis_visual_reference,699674,10af92511d57a3c1fc6a2a12bc549e6faf92cb105890f9c2200b461c543160e6
Z078,Z,assets/Z078/ZOT-ZEMR5578-MVJMFUN7-FIG5-P9.png,scientific-figure-style-corpus,assets/zotero/ISME-Communications/ZEMR5578/ZOT-ZEMR5578-MVJMFUN7-FIG5-P9.png,bioinformatics_analysis_visual_reference,427281,5d94bd79d43b33e79ba443e6924cea64aa156a2e5da68ce41d5ec72f1c3000ce
Z097,Z,assets/Z097/ZOT-6NV7H8SC-8ARZXCQK-FIG2-P5.png,scientific-figure-style-corpus,assets/zotero/Nature-Communications/6NV7H8SC/ZOT-6NV7H8SC-8ARZXCQK-FIG2-P5.png,bioinformatics_analysis_visual_reference,434929,0216c557433b97e139909b3a72625e0219c30789c1b7bf36531a500fbd8dae39
Z107,Z,assets/Z107/ZOT-H6FIEJJA-8FF87MRP-FIG2-P4.png,scientific-figure-style-corpus,assets/zotero/Nature-Sustainability/H6FIEJJA/ZOT-H6FIEJJA-8FF87MRP-FIG2-P4.png,bioinformatics_analysis_visual_reference,515390,bdc41fa5b58f3f1036d03153ba23519cc6ca776b3481d24d07a07f3c8e698bdb
Z108,Z,assets/Z108/ZOT-T8NW8R66-MTG3Z6IG-FIG4-P6.png,scientific-figure-style-corpus,assets/zotero/Nature-Water/T8NW8R66/ZOT-T8NW8R66-MTG3Z6IG-FIG4-P6.png,bioinformatics_analysis_visual_reference,298019,098254d310a3e8a871fdccf3b0a2ddeebccdb9f2f0cf8b57a041b00f3e8aa220
Z109,Z,assets/Z109/ZOT-U2IKRPF6-MCK3AMFD-FIG1-P5.png,scientific-figure-style-corpus,assets/zotero/PLOS-Computational-Biology/U2IKRPF6/ZOT-U2IKRPF6-MCK3AMFD-FIG1-P5.png,bioinformatics_analysis_visual_reference,458016,13176241642d93820223989e13b2a6fe38f2753df9b867909827fe3bb5611657
Z133,Z,assets/Z133/ZOT-B5DYAD9Y-38F3E98C-FIG2-P5.png,scientific-figure-style-corpus,assets/zotero/Water-Research/B5DYAD9Y/ZOT-B5DYAD9Y-38F3E98C-FIG2-P5.png,bioinformatics_analysis_visual_reference,445415,e0bf0f2fc4e10901d1d61faec8a4eef2e1bdffbc353c64b7da2d53436dbe3815
