canonical_id,legacy_id,storage_mode,journal,year,article_title,figure_id,primary_purpose,style_family,layout,asset_or_source,doi
BI001,R037,local_asset,ISME Journal,,,,bioinformatics_reference,,,assets/R037/isme-020-PMC13548325-f4.webp,
BI002,S001,local_asset,,,,,bioinformatics_reference,,,assets/S001/S15-001_fig5.jpg,
BI003,S002,local_asset,,,,,bioinformatics_reference,,,assets/S002/S15-002_fig7.jpg,
BI004,S033,local_asset,,,,,bioinformatics_reference,,,assets/S033/S15-036_fig3.jpg,
BI005,Z019,local_asset,Bioresource Technology,,,,bioinformatics_reference,,,assets/Z019/ZOT-3MNSQTVZ-9K59TG86-FIG4-P7.png,
BI006,Z021,local_asset,Bioresource Technology,,,,bioinformatics_reference,,,assets/Z021/ZOT-JJWDZWKP-86WI2D4S-FIG6-P7.png,
BI007,Z052,local_asset,Environmental Science & Technology,,,,bioinformatics_reference,,,assets/Z052/ZOT-4WW3EAGK-YVETMRNQ-FIG5-P8.png,
BI008,Z078,local_asset,ISME Communications,,,,bioinformatics_reference,,,assets/Z078/ZOT-ZEMR5578-MVJMFUN7-FIG5-P9.png,
BI009,Z097,local_asset,Nature Communications,,,,bioinformatics_reference,,,assets/Z097/ZOT-6NV7H8SC-8ARZXCQK-FIG2-P5.png,
BI010,Z107,local_asset,Nature Sustainability,,,,bioinformatics_reference,,,assets/Z107/ZOT-H6FIEJJA-8FF87MRP-FIG2-P4.png,
BI011,Z108,local_asset,Nature Water,,,,bioinformatics_reference,,,assets/Z108/ZOT-T8NW8R66-MTG3Z6IG-FIG4-P6.png,
BI012,Z109,local_asset,PLOS Computational Biology,,,,bioinformatics_reference,,,assets/Z109/ZOT-U2IKRPF6-MCK3AMFD-FIG1-P5.png,
BI013,Z133,local_asset,Water Research,,,,bioinformatics_reference,,,assets/Z133/ZOT-B5DYAD9Y-38F3E98C-FIG2-P5.png,
BI014,B001,restricted_external,Environmental Science & Technology,2025,Rice Root Iron Plaque as a Mediator to Stimulate Methanotrophic Nitrogen Fixation,Figure 4,metabolic_pathway,editorial_2d_overview,evidence_to_model,https://pubs.acs.org/doi/10.1021/acs.est.4c11221,10.1021/acs.est.4c11221
BI015,B002,local_open_access,Nature Communications,2019,Phototrophic extracellular electron uptake is linked to carbon dioxide fixation in the bacterium Rhodopseudomonas palustris,Figure 4,metabolic_pathway,pathway_cutaway_2d,evidence_to_model,assets/B002/Guzman2019_NatCommun_Fig4.png,10.1038/s41467-019-09377-6
BI016,B003,restricted_external,The ISME Journal,2022,Light-driven carbon dioxide reduction to methane by Methanosarcina barkeri in an electric syntrophic coculture,Figure 5,integrated_mechanism,pathway_cutaway_2d,two_organism_interaction,https://www.nature.com/articles/s41396-021-01078-7,10.1038/s41396-021-01078-7
BI017,B004,restricted_external,Environmental Science & Technology,2025,Iron Modulates the Growth and Activity of Nitrate-Dependent Methanotrophic Bacteria by Reprogramming Carbon Metabolism,Figure 5,metabolic_pathway,pathway_cutaway_2d,evidence_to_model,https://pubs.acs.org/doi/10.1021/acs.est.5c01275,10.1021/acs.est.5c01275
BI018,B005,restricted_external,Environmental Science & Technology,2026,Sustainable Oxygen Reduction Catalyzed by Whole-Cell Electro-Mutualism,Figure panel e,integrated_mechanism,pathway_cutaway_2d,two_organism_interaction,https://pubs.acs.org/doi/10.1021/acs.est.5c17814,10.1021/acs.est.5c17814
BI019,B006,restricted_external,Environmental Science & Technology,2026,Rhamnolipid Modulates Microbial Interspecies Electron Transfer for Synchronous Sulfidogenesis and Acidogenesis from Mariculture Solid Wastes,Figure 7,transcriptomic_mechanism,multi_panel_omics_to_mechanism,evidence_to_model,https://pubs.acs.org/doi/10.1021/acs.est.5c16493,10.1021/acs.est.5c16493
BI020,B007,open_access_metadata_only,Advanced Science,2026,Mechanisms of Direct Electron Transfer Governed by Redox-Active Conductive Carrier with Superior Wettability in Anaerobic Biofilms,Figure 6,metatranscriptomic_mechanism,pathway_cutaway_2d,evidence_to_model,https://advanced.onlinelibrary.wiley.com/doi/10.1002/advs.202516258,10.1002/advs.202516258
BI021,B008,local_open_access,Advanced Science,2025,Non-Respiratory Extracellular Electron Transfer Competes with Nitrogenase for Electrons in Rhodopseudomonas Palustris,Figure 6,transcriptomic_mechanism,pathway_cutaway_2d,evidence_to_model,assets/B008/Liu2025_AdvSci_Fig6.jpg,10.1002/advs.202501376
BI022,B009,open_access_metadata_only,Nature Communications,2025,Biohybrid-based pyroelectric bio-denitrification driven by temperature fluctuations,Figure 5,transcriptomic_mechanism,multi_panel_omics_to_mechanism,evidence_to_model,https://www.nature.com/articles/s41467-025-60908-w,10.1038/s41467-025-60908-w
