library,canonical_id,legacy_id,storage_mode,asset_or_source,doi
main,M001,R030,local_asset,assets/raw/isme/isme-009-PMC13440305-f6.jpg,
main,M002,R040,local_asset,assets/raw/isme/isme-023-PMC13502201-f8.webp,
main,M003,S007,local_asset,assets/stage1_5/S15-005/S15-005_fig5.jpg,
main,M004,S026,local_asset,assets/stage1_5/S15-031/S15-031_fig1.jpg,
main,M005,S042,local_asset,assets/stage1_5/S15-043/S15-043_fig7.jpg,
main,M006,S045,local_asset,assets/stage1_5/S15-052/S15-052_fig1.jpg,
main,M007,Z001,local_asset,assets/zotero/ACS-Central-Science/VFBRUWBG/ZOT-VFBRUWBG-G7CGL9X7-FIG1-P2.png,
main,M008,Z009,local_asset,assets/zotero/Angewandte-Chemie-International-Edition/FJ5UWFVX/ZOT-FJ5UWFVX-T72ZHZ7N-FIGScheme1-P2.png,
main,M009,Z032,local_asset,assets/zotero/Chemical-Engineering-Journal/DJSTSB3E/ZOT-DJSTSB3E-L5NV7G7Z-FIG6-P10.png,
main,M010,Z039,local_asset,assets/zotero/Chemical-Reviews/5IMTSNH8/ZOT-5IMTSNH8-MTCJDYR6-FIG12-P20.png,
main,M011,Z059,local_asset,assets/zotero/Environmental-Science-Technology/BSV4JMQQ/ZOT-BSV4JMQQ-RTP7Q3IV-FIGGA-P1.png,
main,M012,Z072,local_asset,assets/zotero/Environmental-Science-Technology/W7L5EHV7/ZOT-W7L5EHV7-NXST2C32-FIG7-P10.png,
main,M013,Z096,local_asset,assets/zotero/Nature-Communications/5I7WJUY6/ZOT-5I7WJUY6-ZXE2T9QH-FIG1-P3.png,
main,M014,Z125,local_asset,assets/zotero/The-ISME-Journal/ZN7J262M/ZOT-ZN7J262M-NV53KDXC-FIG1-P3.png,
main,M015,U001,restricted_external,https://www.nature.com/articles/s41559-026-02976-9,10.1038/s41559-026-02976-9
main,M016,U002,restricted_external,https://pubs.acs.org/doi/10.1021/acs.est.5c07417,10.1021/acs.est.5c07417
main,M017,U003,restricted_external,https://pubs.acs.org/doi/10.1021/acs.est.4c11221,10.1021/acs.est.4c11221
main,M018,U004,restricted_external,https://pubs.acs.org/doi/10.1021/acs.est.5c01275,10.1021/acs.est.5c01275
main,M019,U005,restricted_external,https://onlinelibrary.wiley.com/doi/full/10.1002/anie.4522602,10.1002/anie.4522602
main,M020,U006,restricted_external,https://onlinelibrary.wiley.com/doi/full/10.1002/anie.4522602,10.1002/anie.4522602
main,M021,U007,restricted_external,https://onlinelibrary.wiley.com/doi/10.1002/anie.202419973,10.1002/anie.202419973
bioinformatics,BI001,R037,local_asset,assets/R037/isme-020-PMC13548325-f4.webp,
bioinformatics,BI002,S001,local_asset,assets/S001/S15-001_fig5.jpg,
bioinformatics,BI003,S002,local_asset,assets/S002/S15-002_fig7.jpg,
bioinformatics,BI004,S033,local_asset,assets/S033/S15-036_fig3.jpg,
bioinformatics,BI005,Z019,local_asset,assets/Z019/ZOT-3MNSQTVZ-9K59TG86-FIG4-P7.png,
bioinformatics,BI006,Z021,local_asset,assets/Z021/ZOT-JJWDZWKP-86WI2D4S-FIG6-P7.png,
bioinformatics,BI007,Z052,local_asset,assets/Z052/ZOT-4WW3EAGK-YVETMRNQ-FIG5-P8.png,
bioinformatics,BI008,Z078,local_asset,assets/Z078/ZOT-ZEMR5578-MVJMFUN7-FIG5-P9.png,
bioinformatics,BI009,Z097,local_asset,assets/Z097/ZOT-6NV7H8SC-8ARZXCQK-FIG2-P5.png,
bioinformatics,BI010,Z107,local_asset,assets/Z107/ZOT-H6FIEJJA-8FF87MRP-FIG2-P4.png,
bioinformatics,BI011,Z108,local_asset,assets/Z108/ZOT-T8NW8R66-MTG3Z6IG-FIG4-P6.png,
bioinformatics,BI012,Z109,local_asset,assets/Z109/ZOT-U2IKRPF6-MCK3AMFD-FIG1-P5.png,
bioinformatics,BI013,Z133,local_asset,assets/Z133/ZOT-B5DYAD9Y-38F3E98C-FIG2-P5.png,
bioinformatics,BI014,B001,restricted_external,https://pubs.acs.org/doi/10.1021/acs.est.4c11221,10.1021/acs.est.4c11221
bioinformatics,BI015,B002,local_open_access,assets/B002/Guzman2019_NatCommun_Fig4.png,10.1038/s41467-019-09377-6
bioinformatics,BI016,B003,restricted_external,https://www.nature.com/articles/s41396-021-01078-7,10.1038/s41396-021-01078-7
bioinformatics,BI017,B004,restricted_external,https://pubs.acs.org/doi/10.1021/acs.est.5c01275,10.1021/acs.est.5c01275
bioinformatics,BI018,B005,restricted_external,https://pubs.acs.org/doi/10.1021/acs.est.5c17814,10.1021/acs.est.5c17814
bioinformatics,BI019,B006,restricted_external,https://pubs.acs.org/doi/10.1021/acs.est.5c16493,10.1021/acs.est.5c16493
bioinformatics,BI020,B007,open_access_metadata_only,https://advanced.onlinelibrary.wiley.com/doi/10.1002/advs.202516258,10.1002/advs.202516258
bioinformatics,BI021,B008,local_open_access,assets/B008/Liu2025_AdvSci_Fig6.jpg,10.1002/advs.202501376
bioinformatics,BI022,B009,open_access_metadata_only,https://www.nature.com/articles/s41467-025-60908-w,10.1038/s41467-025-60908-w
