sample_id,style_learning_tier,style_reference_score_1_5,primary_purpose,layout,style_family,domain_relevance_to_bath_rp,third_party_tool_asset_flag,qa_caveats
isme-009-PMC13440305-f6,A_style_reference,5,electron_transfer,two-organism_interaction,2d_pathway_cutaway,high,biorender,biorender_asset_caveat_style_only
isme-020-PMC13548325-f4,A_style_reference,5,metabolic_pathway,pathway_network,2d_pathway_cutaway,high,,
isme-023-PMC13502201-f8,C_context_reference,3,environmental_process,layered_environmental_gradient,3d_cutaway_caveat,high,,3d_style_outside_preferred_2d_2_5d_scope
nature-communications-010-PMC13550544-Fig2,B_style_reference,4,material_interface,multiscale_zoom,soft_2_5d_schematic,moderate,,
nature-communications-011-PMC13554182-Fig1,A_style_reference,5,material_interface,evidence_to_model,mixed_schematic_data,low,,
nature-communications-012-PMC13554182-Fig2,exclude_from_style_learning,2,quantitative_results,panel_grid,quantitative_data_figure,low,,predominantly_quantitative_or_low_transfer_value
nature-communications-013-PMC13554230-Fig1,B_style_reference,4,experimental_design,linear_flow,flat_2d_workflow,low,biorender,biorender_asset_caveat_style_only
nature-communications-014-PMC13554230-Fig7,B_style_reference,4,experimental_design,linear_flow,mixed_schematic_data,low,biorender,biorender_asset_caveat_style_only
nature-communications-015-PMC13550466-Fig1,A_style_reference,5,experimental_design,linear_flow,flat_2d_workflow,low,biorender,biorender_asset_caveat_style_only
nature-communications-016-PMC13547291-Fig1,B_style_reference,4,experimental_design,evidence_to_model,mixed_schematic_data,low,biorender,biorender_asset_caveat_style_only
nature-communications-017-PMC13547291-Fig6,exclude_from_style_learning,2,microscopy_imaging,panel_grid,microscopy_composite,low,,predominantly_quantitative_or_low_transfer_value
nature-communications-018-PMC13542091-Fig5,C_context_reference,3,experimental_design,evidence_to_model,mixed_schematic_data,low,biorender,biorender_asset_caveat_style_only
nature-communications-019-PMC13542091-Fig1,B_style_reference,4,multiscale_zoom,multiscale_zoom,mixed_schematic_data,low,biorender,biorender_asset_caveat_style_only
nature-communications-020-PMC13542293-Fig6,B_style_reference,4,multiscale_zoom,multiscale_zoom,mixed_schematic_data,low,,
nature-microbiology-004-PMC13323110-Fig4,A_style_reference,5,mechanistic_pathway,evidence_to_model,mixed_schematic_data,high,,
water-research-002-PMC7617467-F6,exclude_from_style_learning,2,quantitative_results,panel_grid,quantitative_data_figure,high,,low_short_dimension;predominantly_quantitative_or_low_transfer_value
water-research-009-PMC4773403-fig2,exclude_from_style_learning,2,quantitative_results,panel_grid,quantitative_data_figure,high,,predominantly_quantitative_or_low_transfer_value
water-research-013-PMC7001102-fig1,exclude_from_style_learning,2,map_spatial,map_spatial,map_cartographic,low,,low_short_dimension;predominantly_quantitative_or_low_transfer_value
water-research-022-PMC6176912-fig1,A_style_reference,5,experimental_design,process_flow,flat_2d_workflow,high,,
