canonical_id,visual_analysis_status,dimensionality,overall_composition,layout_archetype,visual_hierarchy,cell_rendering,membrane_intracellular_rendering,material_rendering,molecule_metabolite_rendering,arrow_connector_grammar,palette,typography_labeling,whitespace,information_density,perspective_camera,lighting_shadow,transparency_depth,evidence_integration,reusable_motifs,best_visual_roles,avoid_transfer,notes
M001,pending_visual_decomposition,,,,,,,,,,,,,,,,,,,,,
M002,pending_visual_decomposition,,,,,,,,,,,,,,,,,,,,,
M003,pending_visual_decomposition,,,,,,,,,,,,,,,,,,,,,
M004,pending_visual_decomposition,,,,,,,,,,,,,,,,,,,,,
M005,pending_visual_decomposition,,,,,,,,,,,,,,,,,,,,,
M006,pending_visual_decomposition,,,,,,,,,,,,,,,,,,,,,
M007,pending_visual_decomposition,,,,,,,,,,,,,,,,,,,,,
M008,pending_visual_decomposition,,,,,,,,,,,,,,,,,,,,,
M009,pending_visual_decomposition,,,,,,,,,,,,,,,,,,,,,
M010,pending_visual_decomposition,,,,,,,,,,,,,,,,,,,,,
M011,pending_visual_decomposition,,,,,,,,,,,,,,,,,,,,,
M012,pending_visual_decomposition,,,,,,,,,,,,,,,,,,,,,
M013,pending_visual_decomposition,,,,,,,,,,,,,,,,,,,,,
M014,pending_visual_decomposition,,,,,,,,,,,,,,,,,,,,,
M015,pending_visual_decomposition,,,,,,,,,,,,,,,,,,,,,
M016,pending_visual_decomposition,,,,,,,,,,,,,,,,,,,,,
M017,pending_visual_decomposition,,,,,,,,,,,,,,,,,,,,,
M018,pending_visual_decomposition,,,,,,,,,,,,,,,,,,,,,
M019,pending_visual_decomposition,,,,,,,,,,,,,,,,,,,,,
M020,pending_visual_decomposition,,,,,,,,,,,,,,,,,,,,,
M021,pending_visual_decomposition,,,,,,,,,,,,,,,,,,,,,
