id,source_group,asset_path,decision
Z003,Z,assets/zotero/ACS-Sustainable-Chemistry-Engineering/TBABRAWE/ZOT-TBABRAWE-YJ2NY523-FIG1-P3.png,delete
Z004,Z,assets/zotero/ACS-Sustainable-Chemistry-Engineering/TBABRAWE/ZOT-TBABRAWE-YJ2NY523-FIGGA-P1.png,delete
Z005,Z,assets/zotero/Advanced-Science/EGA3EPP9/ZOT-EGA3EPP9-EE5SP927-FIG7-P12.png,delete
Z006,Z,assets/zotero/Advanced-Science/XREI87CV/ZOT-XREI87CV-KQZ6SYI7-FIG6-P9.png,delete
Z007,Z,assets/zotero/Angewandte-Chemie-International-Edition/6T7CNEB4/ZOT-6T7CNEB4-HEUWDX89-FIG6-P11.png,delete
Z008,Z,assets/zotero/Angewandte-Chemie-International-Edition/FJ5UWFVX/ZOT-FJ5UWFVX-T72ZHZ7N-FIG4-P8.png,delete
Z009,Z,assets/zotero/Angewandte-Chemie-International-Edition/FJ5UWFVX/ZOT-FJ5UWFVX-T72ZHZ7N-FIGScheme1-P2.png,keep
Z010,Z,assets/zotero/Angewandte-Chemie-International-Edition/HKIZ3I85/ZOT-HKIZ3I85-GKR7TU4P-FIG2-P4.png,delete
Z011,Z,assets/zotero/Angewandte-Chemie-International-Edition/HKIZ3I85/ZOT-HKIZ3I85-GKR7TU4P-FIG4-P7.png,delete
Z012,Z,assets/zotero/Angewandte-Chemie-International-Edition/WIKJ4FZ4/ZOT-WIKJ4FZ4-C8ZDHCUX-FIG2-P4.png,delete
Z013,Z,assets/zotero/Angewandte-Chemie-International-Edition/WIKJ4FZ4/ZOT-WIKJ4FZ4-C8ZDHCUX-FIG5-P10.png,delete
Z014,Z,assets/zotero/Applied-Microbiology-and-Biotechnology/KE8ZBP93/ZOT-KE8ZBP93-NLGDNRV3-FIG7-P10.png,delete
