id,asset_path,decision
Z075,assets/zotero/Frontiers-in-Microbiology/6EIAJMRK/ZOT-6EIAJMRK-BL2SNCPV-FIG3-P5.png,delete
Z076,assets/zotero/Frontiers-in-Microbiology/6EIAJMRK/ZOT-6EIAJMRK-BL2SNCPV-FIG8-P17.png,delete
Z077,assets/zotero/Frontiers-in-Microbiology/EGT8E7B6/ZOT-EGT8E7B6-VIU9D7QE-FIG5-P8.png,delete
Z078,assets/zotero/ISME-Communications/ZEMR5578/ZOT-ZEMR5578-MVJMFUN7-FIG5-P9.png,keep
Z079,assets/zotero/ISME-Communications/ZEMR5578/ZOT-ZEMR5578-MVJMFUN7-FIGGA-P1.png,delete
Z080,assets/zotero/Journal-of-Water-Process-Engineering/UMPHI3MT/ZOT-UMPHI3MT-ABCNV2L7-FIG9-P9.png,delete
Z081,assets/zotero/Journal-of-the-American-Chemical-Society/PTLX22Q7/ZOT-PTLX22Q7-AVD2B9JZ-FIG1-P2.png,delete
Z082,assets/zotero/Journal-of-the-American-Chemical-Society/ZUQEZDGQ/ZOT-ZUQEZDGQ-9SLCTHIN-FIG4-P6.png,delete
Z083,assets/zotero/Microbiome/XJL6K8XC/ZOT-XJL6K8XC-VYLLYB6F-FIG6-P13.png,delete
Z084,assets/zotero/Molecular-Systems-Biology/AKWEURIC/ZOT-AKWEURIC-85GGRG7R-FIG1-P2.png,delete
Z085,assets/zotero/Nano-Today/7ND8V73J/ZOT-7ND8V73J-RZE7UZEQ-FIG5-P4.png,delete
Z086,assets/zotero/Nature/LDNRIZQ4/ZOT-LDNRIZQ4-AJ2JIVVA-FIG4-P4.png,delete
