id,asset_path,decision
R001,assets/raw/ese/ese-001-PMC13545441-fig5.webp,delete
R002,assets/raw/ese/ese-002-PMC13319378-fig2.jpg,delete
R003,assets/raw/ese/ese-006-PMC13319378-fig3.jpg,delete
R004,assets/raw/ese/ese-007-PMC13223959-fig1.jpg,delete
R005,assets/raw/ese/ese-008-PMC13223959-fig5.jpg,delete
R006,assets/raw/ese/ese-017-PMC13122226-fig1.jpg,delete
R007,assets/raw/est/est-001-PMC13492273-fig5.webp,delete
R008,assets/raw/est/est-002-PMC13492273-fig4.webp,delete
R009,assets/raw/est/est-008-PMC13276906-fig1.jpg,delete
R010,assets/raw/est/est-010-PMC13276896-fig3.jpg,delete
R011,assets/raw/est/est-019-PMC13261874-fig1.jpg,delete
R012,assets/raw/est/est-020-PMC13235560-fig3.jpg,delete
R013,assets/raw/est/est-022-PMC13217557-fig2.jpg,delete
R014,assets/raw/est/est-026-PMC13192310-fig1.jpg,delete
R015,assets/raw/est/est-037-PMC13104179-fig3.jpg,delete
R016,assets/raw/est/est-039-PMC13104175-fig4.jpg,delete
R017,assets/raw/est/est-040-PMC12490640-fig1.jpg,delete
R018,assets/raw/est/est-041-PMC13524028-fig1.webp,delete
R019,assets/raw/est/est-044-PMC13472146-fig4.jpg,delete
R020,assets/raw/est/est-045-PMC13472146-fig1.jpg,delete
R021,assets/raw/est/est-049-PMC13472078-fig4.jpg,delete
R022,assets/raw/isme/isme-001-PMC13528865-f1.webp,delete
R023,assets/raw/isme/isme-002-PMC13525550-f3.webp,delete
R024,assets/raw/isme/isme-003-PMC13525550-f7.webp,delete
R025,assets/raw/isme/isme-004-PMC13525553-f5.webp,delete
R026,assets/raw/isme/isme-005-PMC13525553-f6.webp,delete
R027,assets/raw/isme/isme-006-PMC13521525-f5.webp,delete
R028,assets/raw/isme/isme-007-PMC13521525-f8.webp,delete
R029,assets/raw/isme/isme-008-PMC13502202-f6.webp,delete
R030,assets/raw/isme/isme-009-PMC13440305-f6.jpg,keep
R031,assets/raw/isme/isme-014-PMC13440307-f1.jpg,delete
R032,assets/raw/isme/isme-015-PMC13557118-f5.webp,delete
R033,assets/raw/isme/isme-016-PMC13557118-f1.webp,delete
R034,assets/raw/isme/isme-017-PMC13552498-f3.webp,delete
R035,assets/raw/isme/isme-018-PMC13548328-f3.webp,delete
R036,assets/raw/isme/isme-019-PMC13548325-f1.webp,delete
