id,source_group,asset_path,decision
R001,R,assets/raw/ese/ese-001-PMC13545441-fig5.webp,delete
R002,R,assets/raw/ese/ese-002-PMC13319378-fig2.jpg,delete
R003,R,assets/raw/ese/ese-006-PMC13319378-fig3.jpg,delete
R004,R,assets/raw/ese/ese-007-PMC13223959-fig1.jpg,delete
R005,R,assets/raw/ese/ese-008-PMC13223959-fig5.jpg,delete
R006,R,assets/raw/ese/ese-017-PMC13122226-fig1.jpg,delete
R007,R,assets/raw/est/est-001-PMC13492273-fig5.webp,delete
R008,R,assets/raw/est/est-002-PMC13492273-fig4.webp,delete
R009,R,assets/raw/est/est-008-PMC13276906-fig1.jpg,delete
R010,R,assets/raw/est/est-010-PMC13276896-fig3.jpg,delete
R011,R,assets/raw/est/est-019-PMC13261874-fig1.jpg,delete
R012,R,assets/raw/est/est-020-PMC13235560-fig3.jpg,delete
R013,R,assets/raw/est/est-022-PMC13217557-fig2.jpg,delete
R014,R,assets/raw/est/est-026-PMC13192310-fig1.jpg,delete
R015,R,assets/raw/est/est-037-PMC13104179-fig3.jpg,delete
R016,R,assets/raw/est/est-039-PMC13104175-fig4.jpg,delete
R017,R,assets/raw/est/est-040-PMC12490640-fig1.jpg,delete
R018,R,assets/raw/est/est-041-PMC13524028-fig1.webp,delete
R019,R,assets/raw/est/est-044-PMC13472146-fig4.jpg,delete
R020,R,assets/raw/est/est-045-PMC13472146-fig1.jpg,delete
R021,R,assets/raw/est/est-049-PMC13472078-fig4.jpg,delete
R022,R,assets/raw/isme/isme-001-PMC13528865-f1.webp,delete
R023,R,assets/raw/isme/isme-002-PMC13525550-f3.webp,delete
R024,R,assets/raw/isme/isme-003-PMC13525550-f7.webp,delete
R025,R,assets/raw/isme/isme-004-PMC13525553-f5.webp,delete
R026,R,assets/raw/isme/isme-005-PMC13525553-f6.webp,delete
R027,R,assets/raw/isme/isme-006-PMC13521525-f5.webp,delete
R028,R,assets/raw/isme/isme-007-PMC13521525-f8.webp,delete
R029,R,assets/raw/isme/isme-008-PMC13502202-f6.webp,delete
R030,R,assets/raw/isme/isme-009-PMC13440305-f6.jpg,keep
R031,R,assets/raw/isme/isme-014-PMC13440307-f1.jpg,delete
R032,R,assets/raw/isme/isme-015-PMC13557118-f5.webp,delete
R033,R,assets/raw/isme/isme-016-PMC13557118-f1.webp,delete
R034,R,assets/raw/isme/isme-017-PMC13552498-f3.webp,delete
R035,R,assets/raw/isme/isme-018-PMC13548328-f3.webp,delete
R036,R,assets/raw/isme/isme-019-PMC13548325-f1.webp,delete
R037,R,assets/raw/isme/isme-020-PMC13548325-f4.webp,keep
R038,R,assets/raw/isme/isme-021-PMC13548323-f2.webp,delete
R039,R,assets/raw/isme/isme-022-PMC13548323-f4.webp,delete
R040,R,assets/raw/isme/isme-023-PMC13502201-f8.webp,keep
R041,R,assets/raw/isme/isme-024-PMC13502201-f5.webp,delete
R042,R,assets/raw/isme-communications/isme-communications-001-PMC13557124-f5.webp,delete
R043,R,assets/raw/isme-communications/isme-communications-002-PMC13557124-f2.webp,delete
R044,R,assets/raw/isme-communications/isme-communications-003-PMC13540726-f1.webp,delete
R045,R,assets/raw/isme-communications/isme-communications-004-PMC13540726-f2.webp,delete
R046,R,assets/raw/isme-communications/isme-communications-005-PMC13518059-f4.webp,delete
R047,R,assets/raw/isme-communications/isme-communications-006-PMC13518059-f1.webp,delete
R048,R,assets/raw/nature/nature-001-PMC13538056-Fig3.webp,delete
R049,R,assets/raw/nature/nature-002-PMC13538056-Fig8.webp,delete
R050,R,assets/raw/nature/nature-003-PMC13518240-Fig1.webp,delete
R051,R,assets/raw/nature/nature-004-PMC13518240-Fig8.webp,delete
R052,R,assets/raw/nature-communications/nature-communications-001-PMC13554099-Fig5.webp,delete
R053,R,assets/raw/nature-communications/nature-communications-002-PMC13554099-Fig8.webp,delete
R054,R,assets/raw/nature-communications/nature-communications-003-PMC13554081-Fig2.webp,delete
R055,R,assets/raw/nature-communications/nature-communications-004-PMC13554081-Fig4.webp,delete
R056,R,assets/raw/nature-communications/nature-communications-005-PMC13554080-Fig1.webp,delete
R057,R,assets/raw/nature-communications/nature-communications-006-PMC13554080-Fig4.webp,delete
R058,R,assets/raw/nature-communications/nature-communications-007-PMC13554069-Fig4.webp,delete
R059,R,assets/raw/nature-communications/nature-communications-008-PMC13554069-Fig6.webp,delete
R060,R,assets/raw/nature-communications/nature-communications-009-PMC13550544-Fig1.webp,delete
R061,R,assets/raw/nature-microbiology/nature-microbiology-001-PMC13553321-Fig4.webp,delete
R062,R,assets/raw/nature-microbiology/nature-microbiology-002-PMC13553321-Fig6.webp,delete
R063,R,assets/raw/nature-microbiology/nature-microbiology-003-PMC13548317-Fig1.webp,delete
R064,R,assets/raw/nature-microbiology/nature-microbiology-004-PMC13548317-Fig2.webp,delete
R065,R,assets/raw/nature-microbiology/nature-microbiology-005-PMC13544113-Fig1.webp,delete
R066,R,assets/raw/nature-microbiology/nature-microbiology-006-PMC13544113-Fig6.webp,delete
R067,R,assets/raw/nature-microbiology/nature-microbiology-007-PMC13540740-Fig1.webp,delete
R068,R,assets/raw/nature-microbiology/nature-microbiology-008-PMC13540740-Fig3.webp,delete
R069,R,assets/raw/nature-microbiology/nature-microbiology-009-PMC13533245-Fig4.webp,delete
R070,R,assets/raw/nature-microbiology/nature-microbiology-010-PMC13533245-Fig1.webp,delete
R071,R,assets/raw/nature-microbiology/nature-microbiology-011-PMC13323110-Fig1.jpg,delete
R072,R,assets/raw/nature-microbiology/nature-microbiology-012-PMC13323110-Fig4.jpg,delete
R073,R,assets/raw/nature-microbiology/nature-microbiology-014-PMC13323110-Fig7.jpg,delete
R074,R,assets/raw/nature-microbiology/nature-microbiology-016-PMC13323057-Fig6.jpg,delete
R075,R,assets/raw/nature-microbiology/nature-microbiology-017-PMC13418256-F6.jpg,delete
R076,R,assets/raw/nature-microbiology/nature-microbiology-018-PMC13418256-F1.jpg,delete
R077,R,assets/raw/nature-microbiology/nature-microbiology-030-PMC13236596-Fig1.jpg,delete
R078,R,assets/raw/nature-microbiology/nature-microbiology-033-PMC13236599-Fig2.jpg,delete
R079,R,assets/raw/nature-microbiology/nature-microbiology-039-PMC13236591-Fig1.jpg,delete
R080,R,assets/raw/nature-water/nature-water-001-PMC13533828-Fig1.webp,delete
