candidate_id,year,journal,article_url,figure_number,style_learning_tier,primary_purpose,style_family,layout_archetype,domain_relevance_to_bath_rp,rights_status,public_mirror,inspection_basis,notes
S15-010,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC10954620/,1,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet,Predominantly quantitative/microscopy/low-transfer or redundant figure.
S15-010,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC10954620/,2,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet,Predominantly quantitative/microscopy/low-transfer or redundant figure.
S15-010,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC10954620/,3,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet,Predominantly quantitative/microscopy/low-transfer or redundant figure.
S15-010,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC10954620/,4,B_style_reference,electron_transfer,mixed_schematic_data,linear_transfer_plus_evidence,high,public_mirror_allowed_cc_by,true,direct_contact_sheet,Ppc-to-OmcS electron-injection schematic; useful EET connector grammar.
S15-010,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC10954620/,5,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet,Predominantly quantitative/microscopy/low-transfer or redundant figure.
S15-010,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC10954620/,6,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,low,public_mirror_allowed_cc_by,false,direct_contact_sheet,Predominantly quantitative/microscopy/low-transfer or redundant figure.
S15-010,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC10954620/,7,C_context_reference,context_or_quantitative,mixed_or_data,panel_grid,moderate,public_mirror_allowed_cc_by,false,direct_contact_sheet,Potentially useful but not among top 1–2 distinct figures for this article.
S15-010,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC10954620/,8,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,moderate,third_party_style_only,false,caption_license_metadata,Third-party/BioRender risk; not selected for active public style set.
S15-010,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC10954620/,9,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,low,public_mirror_allowed_cc_by,false,direct_contact_sheet,Predominantly quantitative/microscopy/low-transfer or redundant figure.
S15-011,2025,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC12279944/,1,A_style_reference,material_microbe_interface,editorial_2d_overview,biotic_abiotic_interface,high,third_party_style_only,false,caption_license_metadata,Excellent interface/EET concept but CC BY-NC-ND and BioRender; metadata/style reference only.
S15-011,2025,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC12279944/,2,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,low,oa_restrictive_no_public_mirror,false,caption_license_metadata,Restrictive OA licence; metadata/private context only.
S15-011,2025,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC12279944/,3,B_style_reference,material_microbe_interface,mixed_schematic_data,single_cell_interface,high,third_party_style_only,false,caption_license_metadata,High-value interface evidence layout; CC BY-NC-ND/BioRender; no public mirror.
S15-011,2025,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC12279944/,4,C_context_reference,context_or_quantitative,mixed_or_data,panel_grid,moderate,oa_restrictive_no_public_mirror,false,caption_license_metadata,Restrictive OA licence; metadata/private context only.
S15-011,2025,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC12279944/,5,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,low,oa_restrictive_no_public_mirror,false,caption_license_metadata,Restrictive OA licence; metadata/private context only.
S15-011,2025,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC12279944/,6,C_context_reference,context_or_quantitative,mixed_or_data,panel_grid,moderate,oa_restrictive_no_public_mirror,false,caption_license_metadata,Restrictive OA licence; metadata/private context only.
S15-012,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC10881478/,1,exclude_from_style_learning,context_or_quantitative,mixed_or_data,panel_grid,low,public_mirror_allowed_cc_by,false,direct_contact_sheet,Predominantly quantitative/microscopy/low-transfer or redundant figure.
S15-012,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC10881478/,2,B_style_reference,electron_transfer,2d_pathway_cutaway,membrane_to_device,high,third_party_style_only,false,caption_license_metadata,MtrCAB/flavin-to-OECT mechanism; BioRender style-only; no asset extraction.
S15-012,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC10881478/,3,C_context_reference,context_or_quantitative,mixed_or_data,panel_grid,moderate,third_party_style_only,false,caption_license_metadata,Third-party/BioRender risk; not selected for active public style set.
