candidate_id,year,journal,article_url,figure_number,decision,style_learning_tier,primary_purpose,style_family,layout_archetype,domain_relevance_to_bath_rp,rights_status,public_mirror,visual_qa,notes
S15-046,2026,Frontiers in Microbiology,https://pmc.ncbi.nlm.nih.gov/articles/PMC13194489/,1,C,C_context_reference,protein_structure_context,structural_biology,protein_structure_comparison,moderate,public_mirror_allowed_cc_by,false,completed,useful scientific context but low transfer value for target 2D mechanism corpus
S15-046,2026,Frontiers in Microbiology,https://pmc.ncbi.nlm.nih.gov/articles/PMC13194489/,2,C,C_context_reference,protein_structure_context,structural_biology,protein_structure_comparison,moderate,public_mirror_allowed_cc_by,false,completed,useful scientific context but low transfer value for target 2D mechanism corpus
S15-046,2026,Frontiers in Microbiology,https://pmc.ncbi.nlm.nih.gov/articles/PMC13194489/,3,exclude,exclude_from_style_learning,quantitative_or_low_incremental_value,quantitative_data_figure,panel_grid_or_imaging,low,public_mirror_allowed_cc_by,false,completed,"exclude: data-heavy, imaging-heavy, redundant, or low incremental visual grammar"
S15-046,2026,Frontiers in Microbiology,https://pmc.ncbi.nlm.nih.gov/articles/PMC13194489/,4,exclude,exclude_from_style_learning,quantitative_or_low_incremental_value,quantitative_data_figure,panel_grid_or_imaging,low,public_mirror_allowed_cc_by,false,completed,"exclude: data-heavy, imaging-heavy, redundant, or low incremental visual grammar"
S15-046,2026,Frontiers in Microbiology,https://pmc.ncbi.nlm.nih.gov/articles/PMC13194489/,5,exclude,exclude_from_style_learning,quantitative_or_low_incremental_value,quantitative_data_figure,panel_grid_or_imaging,low,public_mirror_allowed_cc_by,false,completed,"exclude: data-heavy, imaging-heavy, redundant, or low incremental visual grammar"
S15-047,2026,Cell Reports Physical Science,https://pmc.ncbi.nlm.nih.gov/articles/PMC12915252/,1,A,A_style_reference,electron_transfer,flat_2d_mechanism,mtrcab_to_electrode_conduit,high,public_mirror_allowed_cc_by,true,completed,selected: adds non-cross-feeding EET/material/mineral visual grammar
S15-047,2026,Cell Reports Physical Science,https://pmc.ncbi.nlm.nih.gov/articles/PMC12915252/,2,C,C_context_reference,engineered_eet_context,mixed_schematic_data,protein_tagging_validation,moderate,public_mirror_allowed_cc_by,false,completed,context only: validation-heavy and less transferable than Fig.1
S15-047,2026,Cell Reports Physical Science,https://pmc.ncbi.nlm.nih.gov/articles/PMC12915252/,3,exclude,exclude_from_style_learning,quantitative_or_low_incremental_value,quantitative_data_figure,panel_grid_or_imaging,low,public_mirror_allowed_cc_by,false,completed,"exclude: data-heavy, imaging-heavy, redundant, or low incremental visual grammar"
S15-047,2026,Cell Reports Physical Science,https://pmc.ncbi.nlm.nih.gov/articles/PMC12915252/,4,B,B_style_reference,material_microbe_interface,mixed_schematic_data,engineered_mtrc_graphite_binding,high,public_mirror_allowed_cc_by,true,completed,selected: adds non-cross-feeding EET/material/mineral visual grammar
S15-047,2026,Cell Reports Physical Science,https://pmc.ncbi.nlm.nih.gov/articles/PMC12915252/,5,C,C_context_reference,experimental_eet_context,mixed_schematic_data,electrochemical_validation,moderate,public_mirror_allowed_cc_by,false,completed,context only: workflow/data grammar already well represented
S15-048,2025,Bioelectrochemistry,https://pmc.ncbi.nlm.nih.gov/articles/PMC12644303/,1,C,C_context_reference,biofilm_reactor_context,mixed_photo_schematic,flow_cell_geometry,moderate,public_mirror_allowed_cc_by,false,completed,context only: setup photo and geometry rather than target mechanism grammar
S15-048,2025,Bioelectrochemistry,https://pmc.ncbi.nlm.nih.gov/articles/PMC12644303/,2,exclude,exclude_from_style_learning,quantitative_or_low_incremental_value,quantitative_data_figure,panel_grid_or_imaging,low,public_mirror_allowed_cc_by,false,completed,"exclude: data-heavy, imaging-heavy, redundant, or low incremental visual grammar"
S15-048,2025,Bioelectrochemistry,https://pmc.ncbi.nlm.nih.gov/articles/PMC12644303/,3,C,C_context_reference,biofilm_spatial_context,imaging_time_series,oct_biofilm_height_map,moderate,public_mirror_allowed_cc_by,false,completed,context only: useful spatial phenotype but not a schematic style reference
S15-048,2025,Bioelectrochemistry,https://pmc.ncbi.nlm.nih.gov/articles/PMC12644303/,4,C,C_context_reference,biofilm_spatial_context,microscopy_composite,biofilm_layer_structure,moderate,public_mirror_allowed_cc_by,false,completed,context only: imaging composite
S15-048,2025,Bioelectrochemistry,https://pmc.ncbi.nlm.nih.gov/articles/PMC12644303/,5,exclude,exclude_from_style_learning,quantitative_or_low_incremental_value,quantitative_data_figure,panel_grid_or_imaging,low,public_mirror_allowed_cc_by,false,completed,"exclude: data-heavy, imaging-heavy, redundant, or low incremental visual grammar"
S15-048,2025,Bioelectrochemistry,https://pmc.ncbi.nlm.nih.gov/articles/PMC12644303/,6,exclude,exclude_from_style_learning,quantitative_or_low_incremental_value,quantitative_data_figure,panel_grid_or_imaging,low,public_mirror_allowed_cc_by,false,completed,"exclude: data-heavy, imaging-heavy, redundant, or low incremental visual grammar"
S15-048,2025,Bioelectrochemistry,https://pmc.ncbi.nlm.nih.gov/articles/PMC12644303/,7,exclude,exclude_from_style_learning,quantitative_or_low_incremental_value,quantitative_data_figure,panel_grid_or_imaging,low,public_mirror_allowed_cc_by,false,completed,"exclude: data-heavy, imaging-heavy, redundant, or low incremental visual grammar"
S15-049,2025,Frontiers in Microbiology,https://pmc.ncbi.nlm.nih.gov/articles/PMC12178636/,1,exclude,exclude_from_style_learning,quantitative_or_low_incremental_value,quantitative_data_figure,panel_grid_or_imaging,low,public_mirror_allowed_cc_by,false,completed,"exclude: data-heavy, imaging-heavy, redundant, or low incremental visual grammar"
S15-049,2025,Frontiers in Microbiology,https://pmc.ncbi.nlm.nih.gov/articles/PMC12178636/,2,exclude,exclude_from_style_learning,quantitative_or_low_incremental_value,quantitative_data_figure,panel_grid_or_imaging,low,public_mirror_allowed_cc_by,false,completed,"exclude: data-heavy, imaging-heavy, redundant, or low incremental visual grammar"
S15-049,2025,Frontiers in Microbiology,https://pmc.ncbi.nlm.nih.gov/articles/PMC12178636/,3,exclude,exclude_from_style_learning,quantitative_or_low_incremental_value,quantitative_data_figure,panel_grid_or_imaging,low,public_mirror_allowed_cc_by,false,completed,"exclude: data-heavy, imaging-heavy, redundant, or low incremental visual grammar"
S15-049,2025,Frontiers in Microbiology,https://pmc.ncbi.nlm.nih.gov/articles/PMC12178636/,4,C,C_context_reference,biofilm_context,mixed_schematic_data,biofilm_agglutination,moderate,public_mirror_allowed_cc_by,false,completed,context only: biofilm phenotype rather than transferable mechanism grammar
S15-049,2025,Frontiers in Microbiology,https://pmc.ncbi.nlm.nih.gov/articles/PMC12178636/,5,exclude,exclude_from_style_learning,quantitative_or_low_incremental_value,quantitative_data_figure,panel_grid_or_imaging,low,public_mirror_allowed_cc_by,false,completed,"exclude: data-heavy, imaging-heavy, redundant, or low incremental visual grammar"
S15-049,2025,Frontiers in Microbiology,https://pmc.ncbi.nlm.nih.gov/articles/PMC12178636/,6,exclude,exclude_from_style_learning,quantitative_or_low_incremental_value,quantitative_data_figure,panel_grid_or_imaging,low,public_mirror_allowed_cc_by,false,completed,"exclude: data-heavy, imaging-heavy, redundant, or low incremental visual grammar"
S15-049,2025,Frontiers in Microbiology,https://pmc.ncbi.nlm.nih.gov/articles/PMC12178636/,7,exclude,exclude_from_style_learning,quantitative_or_low_incremental_value,quantitative_data_figure,panel_grid_or_imaging,low,public_mirror_allowed_cc_by,false,completed,"exclude: data-heavy, imaging-heavy, redundant, or low incremental visual grammar"
S15-050,2025,Environmental Science and Technology,https://pmc.ncbi.nlm.nih.gov/articles/PMC11823449/,1,exclude,exclude_from_style_learning,quantitative_or_low_incremental_value,quantitative_data_figure,panel_grid_or_imaging,low,public_mirror_allowed_cc_by,false,completed,"exclude: data-heavy, imaging-heavy, redundant, or low incremental visual grammar"
