canonical_id,legacy_id,storage_mode,journal,year,article_title,figure_id,primary_purpose,style_family,layout,asset_or_source,doi
M001,R030,local_asset,ISME Journal,,,,general_scientific_reference,,,assets/raw/isme/isme-009-PMC13440305-f6.jpg,
M002,R040,local_asset,ISME Journal,,,,general_scientific_reference,,,assets/raw/isme/isme-023-PMC13502201-f8.webp,
M003,S007,local_asset,Nature Communications,2026,,Figure 5,integrated_mechanism,flat_2d_mechanism,evidence_to_model,assets/stage1_5/S15-005/S15-005_fig5.jpg,
M004,S026,local_asset,,,,,general_scientific_reference,,,assets/stage1_5/S15-031/S15-031_fig1.jpg,
M005,S042,local_asset,,,,,general_scientific_reference,,,assets/stage1_5/S15-043/S15-043_fig7.jpg,
M006,S045,local_asset,,,,,general_scientific_reference,,,assets/stage1_5/S15-052/S15-052_fig1.jpg,
M007,Z001,local_asset,ACS Central Science,,,,general_scientific_reference,,,assets/zotero/ACS-Central-Science/VFBRUWBG/ZOT-VFBRUWBG-G7CGL9X7-FIG1-P2.png,
M008,Z009,local_asset,Angewandte Chemie International Edition,,,,general_scientific_reference,,,assets/zotero/Angewandte-Chemie-International-Edition/FJ5UWFVX/ZOT-FJ5UWFVX-T72ZHZ7N-FIGScheme1-P2.png,
M009,Z032,local_asset,Chemical Engineering Journal,,,,general_scientific_reference,,,assets/zotero/Chemical-Engineering-Journal/DJSTSB3E/ZOT-DJSTSB3E-L5NV7G7Z-FIG6-P10.png,
M010,Z039,local_asset,Chemical Reviews,,,,general_scientific_reference,,,assets/zotero/Chemical-Reviews/5IMTSNH8/ZOT-5IMTSNH8-MTCJDYR6-FIG12-P20.png,
M011,Z059,local_asset,Environmental Science & Technology,,,,general_scientific_reference,,,assets/zotero/Environmental-Science-Technology/BSV4JMQQ/ZOT-BSV4JMQQ-RTP7Q3IV-FIGGA-P1.png,
M012,Z072,local_asset,Environmental Science & Technology,,,,general_scientific_reference,,,assets/zotero/Environmental-Science-Technology/W7L5EHV7/ZOT-W7L5EHV7-NXST2C32-FIG7-P10.png,
M013,Z096,local_asset,Nature Communications,,,,general_scientific_reference,,,assets/zotero/Nature-Communications/5I7WJUY6/ZOT-5I7WJUY6-ZXE2T9QH-FIG1-P3.png,
M014,Z125,local_asset,The ISME Journal,,,,general_scientific_reference,,,assets/zotero/The-ISME-Journal/ZN7J262M/ZOT-ZN7J262M-NV53KDXC-FIG1-P3.png,
M015,U001,restricted_external,Nature Ecology & Evolution,2026,Photoholes within cyanobacterial mats can account for the origin of anammox bacteria and ancient nitrogen loss,Fig. 6,integrated_mechanism,editorial_2d_overview,zoom_in_multiscale,https://www.nature.com/articles/s41559-026-02976-9,10.1038/s41559-026-02976-9
M016,U002,restricted_external,Environmental Science & Technology,2026,Carbon Reallocation Driven by Aerobic–Anoxic Alternation during Methanotrophic Metabolism,Visual Abstract,comparative_perturbation,flat_2d_mechanism,mirrored_comparison,https://pubs.acs.org/doi/10.1021/acs.est.5c07417,10.1021/acs.est.5c07417
M017,U003,restricted_external,Environmental Science & Technology,2025,Rice Root Iron Plaque as a Mediator to Stimulate Methanotrophic Nitrogen Fixation,Visual Abstract,environmental_process,editorial_2d_overview,zoom_in_multiscale,https://pubs.acs.org/doi/10.1021/acs.est.4c11221,10.1021/acs.est.4c11221
M018,U004,restricted_external,Environmental Science & Technology,2025,Iron Modulates the Growth and Activity of Nitrate-Dependent Methanotrophic Bacteria by Reprogramming Carbon Metabolism,Visual Abstract,comparative_perturbation,soft_2_5d_schematic,mirrored_comparison,https://pubs.acs.org/doi/10.1021/acs.est.5c01275,10.1021/acs.est.5c01275
M019,U005,restricted_external,Angewandte Chemie International Edition,2026,Periplasmic FeS Electron Conduits: Tuning Electrocoupling and Respiratory Dehalogenation in a Synthetic Consortium,Figure 6g,electron_transfer,pathway_cutaway_2d,linear_flow,https://onlinelibrary.wiley.com/doi/full/10.1002/anie.4522602,10.1002/anie.4522602
M020,U006,restricted_external,Angewandte Chemie International Edition,2026,Periplasmic FeS Electron Conduits: Tuning Electrocoupling and Respiratory Dehalogenation in a Synthetic Consortium,Graphical Abstract,graphical_abstract,editorial_2d_overview,linear_flow,https://onlinelibrary.wiley.com/doi/full/10.1002/anie.4522602,10.1002/anie.4522602
M021,U007,restricted_external,Angewandte Chemie International Edition,2025,A De Novo Auto-Activated Solar-Driven Biohybrid System for Hydrogen Production in Methanotrophic Cells,Figure 1,biohybrid_mechanism,editorial_2d_overview,staged_a_b_c_story,https://onlinelibrary.wiley.com/doi/10.1002/anie.202419973,10.1002/anie.202419973
M022,U008,restricted_external,Environmental Science & Technology,2026,Targeted Acclimation Unlocks Adaptive Evolution of a Methanotrophic Consortium Enabling 3A5MI Elimination and Enhanced Sulfamethoxazole Biodegradation,Visual Abstract,graphical_abstract,editorial_2d_overview,paired_process_evolution,https://pubs.acs.org/doi/10.1021/acs.est.6c02194,10.1021/acs.est.6c02194
