candidate_id,year,journal,article_title,url,priority_theme,oa_status,license_status,screening_priority,notes
S15-010,2024,Nature Communications,"Widespread extracellular electron transfer pathways for charging microbial cytochrome OmcS nanowires via periplasmic cytochromes PpcABCDE",https://pmc.ncbi.nlm.nih.gov/articles/PMC10954620/,"electron_transfer|nanowire|cytochrome",open_access,verify_cc_by_in_scan,high,"Strong membrane-to-nanowire EET mechanism candidate"
S15-011,2025,Nature Communications,"Single-atom bridges across biotic-abiotic interfaces facilitate direct electron transfer for solar-to-chemical conversion",https://pmc.ncbi.nlm.nih.gov/articles/PMC12279944/,"material_microbe_interface|direct_electron_transfer|biohybrid",open_access,verify_cc_by_in_scan,high,"Excellent microbe-semiconductor interface candidate; flag third-party/BioRender panels"
S15-012,2024,Nature Communications,"A hybrid transistor with transcriptionally controlled computation and plasticity",https://pmc.ncbi.nlm.nih.gov/articles/PMC10881478/,"bioelectronic_interface|eet|shewanella",open_access,verify_cc_by_in_scan,medium,"Device–microbe interface and information-flow layouts"
S15-013,2025,Nature Communications,"Disentangling extracellular current of electroactive bacteria with oblique-incidence reflection difference imaging",https://pmc.ncbi.nlm.nih.gov/articles/PMC12313974/,"electron_transfer|det_vs_met|bioelectrochemistry",open_access,verify_cc_by_in_scan,high,"Potential DET/MET comparative schematic and electrode interface"
S15-014,2025,Nature Communications,"Photo-excited extracellular electron transfer of electroactive microorganism triggers RAFT polymerization",https://pmc.ncbi.nlm.nih.gov/articles/PMC12638906/,"electron_transfer|flavin_shuttle|photoelectron",open_access,verify_cc_by_in_scan,high,"Fig.1 is a strong flavin-mediated electron-flow candidate"
S15-015,2024,The ISME Journal,"Bacterial adenine cross-feeding stems from a purine salvage bottleneck",https://pmc.ncbi.nlm.nih.gov/articles/PMC10976475/,"microbial_interaction|cross_feeding|metabolic_pathway",open_access,verify_cc_by_in_scan,high,"Cross-feeding mechanism candidate"
S15-016,2024,The ISME Journal,"Metabolite cross-feeding enables concomitant catabolism of chlorinated methanes and chlorinated ethenes in synthetic microbial assemblies",https://pmc.ncbi.nlm.nih.gov/articles/PMC11170663/,"microbial_interaction|cross_feeding|synthetic_community",open_access,verify_cc_by_in_scan,high,"Synthetic microbial assembly and metabolite-exchange candidate"
S15-017,2025,The ISME Journal,"Microbial cross-feeding stabilized by segregation of a dependent mutant from its independent ancestor",https://pmc.ncbi.nlm.nih.gov/articles/PMC12279053/,"microbial_interaction|cross_feeding|spatial_structure",open_access,verify_cc_by_in_scan,medium,"Spatial cross-feeding visual grammar; includes RP"
S15-018,2026,ISME Communications,"Substrate toxicity drives successive range expansions opposing spatial intermixing in cross-feeding consortia",https://pmc.ncbi.nlm.nih.gov/articles/PMC13137332/,"microbial_interaction|cross_feeding|spatial_gradient",open_access,verify_cc_by_in_scan,medium,"Recent two-strain cross-feeding/spatial-gradient candidate"
S15-019,2024,Environmental Science & Technology,"Enhanced Extracellular Electron Transfer in Magnetite-Mediated Anaerobic Oxidation of Methane Coupled to Humic Substances Reduction: The Pivotal Role of Membrane-Bound Electron Transfer Proteins",https://pubs.acs.org/doi/10.1021/acs.est.4c05543,"methane|electron_transfer|magnetite|humic_substances",paywalled,metadata_private_reference_only,high,"Highly relevant methane/mineral/EET paper but ACS page is Available to Purchase; do not public-mirror images"
