candidate_id,year,journal,article_title,url,priority_theme,oa_status,license_status,screening_priority,notes
S15-028,2026,FEMS Microbiology Ecology,"Electrogenic CH4 oxidation on a bioanode: putative extracellular electron transport system in Methylobacter sp",https://pmc.ncbi.nlm.nih.gov/articles/PMC13322032/,"methane|methanotroph|electron_transfer|bioanode",open_access,verify_in_scan,very_high,"Directly relevant aerobic methanotroph EET candidate; prioritize mechanism/electrode figures"
S15-029,2024,Nature Communications,"Persistent activity of aerobic methane-oxidizing bacteria in anoxic lake waters due to metabolic versatility",https://pmc.ncbi.nlm.nih.gov/articles/PMC11192741/,"methane|microoxic_anoxic|environmental_gradient|metabolic_versatility",open_access,CC_BY_4_0,very_high,"Direct MOB hypoxic/anoxic ecology; prioritize water-column gradient and metabolic model figures"
S15-030,2024,The ISME Journal,"Linking methanotroph phenotypes to genotypes using a simple spatially resolved model ecosystem",https://pmc.ncbi.nlm.nih.gov/articles/PMC11072679/,"methane|oxygen_gradient|model_ecosystem|spatial_layout",open_access,verify_in_scan,very_high,"CH4/O2 counter-gradient model highly transferable to background and perturbation schematics"
S15-031,2024,Advanced Science,"Engineering Shewanella oneidensis-Carbon Felt Biohybrid Electrode Decorated with Bacterial Cellulose Aerogel-Electropolymerized Anthraquinone to Boost Energy and Chemicals Production",https://pmc.ncbi.nlm.nih.gov/articles/PMC11497010/,"electron_transfer|flavin|electrode|material_microbe_interface",open_access,CC_BY_4_0,high,"Strong DET/MET/electrode and riboflavin-mediated interface grammar"
S15-032,2024,Nature Communications,"Mechanisms of extracellular electron transfer in anaerobic methanotrophic archaea",https://pmc.ncbi.nlm.nih.gov/articles/PMC10874420/,"methane|electron_transfer|nanowire|electrode",open_access,CC_BY_4_0,very_high,"Methane-linked EET with microbe/electrode mechanism; useful despite ANME physiology differing from Bath"
S15-033,2024,Nature Reviews Methods Primers,"Performance evaluation and multidisciplinary analysis of catalytic fixation reactions by material-microbe hybrids",https://pmc.ncbi.nlm.nih.gov/articles/PMC11546438/,"material_microbe_interface|electron_transfer|carbon_fixation|method_framework",open_access,verify_in_scan,high,"Potential high-level interface and evaluation schematics; screen third-party figure risks carefully"
S15-034,2024,Advanced Materials,"A Self-Assembled MOF-Escherichia Coli Hybrid System for Light-Driven Fuels and Valuable Chemicals Synthesis",https://pmc.ncbi.nlm.nih.gov/articles/PMC11220693/,"biohybrid|self_assembly|photoelectron|material_microbe_interface",open_access,verify_in_scan,high,"Self-assembled particle-cell interface relevant to Bath-Bio-Se visual grammar"
S15-035,2024,Environmental Microbiology,"Exploring modes of microbial interactions with implications for methane cycling",https://pmc.ncbi.nlm.nih.gov/articles/PMC11370633/,"methane|microbial_interaction|diffusible_products|VOC",open_access,verify_in_scan,high,"Methanotroph-heterotroph non-contact interaction; useful for diffusible-coupling visual language"
S15-036,2024,Global Change Biology,"Metabolic versatility of aerobic methane-oxidizing bacteria under anoxia in aquatic ecosystems",https://pmc.ncbi.nlm.nih.gov/articles/PMC11374530/,"methane|anoxia|environmental_gradient|microbial_interaction",open_access,verify_in_scan,high,"Review of four MOB strategies under anoxia; likely strong comparative conceptual layouts"
S15-037,2024,FEMS Microbiology Ecology,"Enigmatic persistence of aerobic methanotrophs in oxygen-limiting freshwater habitats",https://pmc.ncbi.nlm.nih.gov/articles/PMC11008690/,"methane|oxygen_gradient|microoxic_anoxic|syntrophy",open_access,verify_in_scan,very_high,"Fig.3 explicitly compares MOB persistence mechanisms across CH4/O2 counter-gradients and partner-assisted scenarios"
