candidate_id,year,journal,article_url,figure_number,style_learning_tier,primary_purpose,style_family,layout_archetype,domain_relevance_to_bath_rp,rights_status,license,cloud_version,figure_id,caption,source_media_url,asset_path,content_type,size_bytes,sha256,inspection_status
S15-028,2026,FEMS Microbiology Ecology,https://pmc.ncbi.nlm.nih.gov/articles/PMC13322032/,3,A_style_reference,methane_eet,flat_2d_mechanism,metabolism_to_electrode_eet,high,public_mirror_allowed_cc_by,CC BY,PMC13322032.1,fig3,"Metabolic reconstruction and predicted EET architecture of the Methylobacter MAG. (A) Schematic overview of pathways encoded by the genome, including methane oxidation by particulate and soluble methane mono-oxygenases (pMMO, sMMO) and methanol dehydrogenase (MDH). The particulate methane mono-oxygenase corresponds to a canonical pmoCAB gene cluster, and the soluble methane mono-oxygenase to mmoXYZBDC. Methanol dehydrogenases include both calcium-dependent Mxa-type (mxaF) and lanthanide-dependent XoxF-type (xoxF) enzymes. Formaldehyde oxidation and assimilation via the ribulose monophosphate (RuMP) pathway and C₁-processing enzymes (Fae, formaldehyde-activating enzyme; MtdB, methylene-tetrahydromethanopterin dehydrogenase; Mch, methenyl-H4MPT cyclohydrolase; Ftr, formyltransferase; Fwd, formylmethanofuran dehydrogenase). Sulfur metabolism comprises the Sox multienzyme complex (SoxABCDXY), sulfide: quinone oxidoreductase (SQR), and sulfide dehydrogenase (FccAB). The respiratory chain comprises NADH: quinone oxidoreductase (Nuo), cytochrome bc₁, cytochrome aa₃ oxidase, and bd- and o-type quinol oxidases. The RNF complex functions as a ferredoxin: NAD⁺ oxidoreductase. “C” denotes c-type cytochromes, 4 TMR indicates the inner membrane-anchored cytochrome, and the outer membrane conduit is depicted as a PCC-like (porin-cytochrome complex). (B) Organization of a putative extracellular EET gene cluster (locus tags 2045–2048) with predicted protein structures including signal peptides. (C) Predicted trans-envelope architecture of the EET conduit. Protein structures of 2046–2047 were generated as a complex, whereas 2045 and 2048 were modeled separately; models were generated without signal peptides. Arrows indicate outward electron transfer toward extracellular acceptors.",https://pmc-oa-opendata.s3.amazonaws.com/PMC13322032.1/fiag067fig3.jpg?md5=b8c5f38408ac7edd2dfb3510466f03c6,assets/stage1_5/S15-028/S15-028_fig3.jpg,binary/octet-stream,115550,2f45215ee66a32349d0f21095e271b6edeec7377a2a54ef3be838c7b30688dd3,direct_contact_sheet_screened_then_aws_harvested
S15-029,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC11192741/,1,B_style_reference,environmental_gradient,gradient_plus_quantitative,water_column_profile,high,public_mirror_allowed_cc_by,CC BY,PMC11192741.1,Fig1,"Lake Zug water column profiles of dissolved gasses, inorganic nutrients, methane oxidation rates, denitrification rates, and cell counts of methane-oxidizing bacteria (MOB).a In situ concentration profiles of oxygen (black) and methane (red) at water depths below 100 m. Black arrows indicate sampling depths for stable isotope incubations and single-cell analyses. Inlet shows oxygen concentrations at the oxic–anoxic interface. b Rates of microaerobic methane oxidation (MO) to carbon dioxide (black symbols) and to biomass (gray symbols). c Rates of anaerobic methane oxidation to carbon dioxide and methane carbon assimilation to biomass. Note that rates of anaerobic methane oxidation are approximately 10-fold lower than those of aerobic methane oxidation. The rate of methane carbon assimilation at 123 m depths was statistically not significant (p = 0.05) due to a non-linear increase of 13C over time. d In situ concentrations of nitrate (black symbols) and nitrite (gray symbols) and denitrification rates (green symbols). Statistically significant methane oxidation, assimilation, and denitrification rates in panels (b–d) (one-sided t-test, p < 0.05) are presented as mean values ± SEM calculated from the linear regression of the first five time points across 8 days of incubation. e MOB cell counts in the anoxic hypolimnion of Lake Zug based on CARD FISH, comprising gamma-MOB (stained with probes Mγ84 and Mγ705) and NC10 bacteria (stained with probe DBACT-1027). The gamma-MOB population comprised morphologically distinct cell types, which were classified as small rods, large rods, cocci, and filaments. Source data are provided as a Source Data file.",https://pmc-oa-opendata.s3.amazonaws.com/PMC11192741.1/41467_2024_49602_Fig1_HTML.jpg?md5=e3ae07e643b316596d931e33f180d6e5,assets/stage1_5/S15-029/S15-029_fig1.jpg,binary/octet-stream,48770,f22aa67befaed2c141c827cabe3d1f20f8145f327e35e08d222b6f0b9024f7f9,direct_contact_sheet_screened_then_aws_harvested
S15-029,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC11192741/,6,A_style_reference,methane_environmental_process,editorial_2d_mechanism,gradient_to_mob_mechanism,high,public_mirror_allowed_cc_by,CC BY,PMC11192741.1,Fig6,"Schematic overview of microbial methane oxidation in the anoxic hypolimnion of Lake Zug.The left panel depicts representative water column profiles of oxygen and methane. The right panel illustrates the MOB groups, comprising gammaproteobacterial MOB (filaments, large rods, small rods, cocci) as well as anaerobic NC10 bacteria and their respective contribution to methane oxidation and assimilation at and below the oxic–anoxic interface. Note that the abundance, activity, and cell size of the different gamma-MOB groups are reflected by their respective numbers, color shading, and size in the figure. In the presence of oxygen, all four distinct Methylococcales-related gamma-MOB groups showed methane-dependent growth at comparable rates, whereas under apparent anoxia, only one group, the large rod-shaped gamma-MOB, was persistently active. Based on this, we conclude that under hypoxic conditions, all identified MOB groups contribute to methane oxidation, while large rod-shaped MOBs, as well as presumably NC10 bacteria, are responsible for the observed methane oxidation under anoxic conditions. Under anoxia, the assimilation of methane carbon into biomass exceeded the oxidation to carbon dioxide in this sampling campaign (see also Fig. S1). We envision that aerobic methane oxidation by gamma-MOB under apparent anoxia can be sustained by traces of oxygen that are periodically mixed into the anoxic waters (green arrows), in combination with anaerobic processes such as denitrification and/or fermentation that allow for energy conservation independently of oxygen. This image was created with Adobe Illustrator.",https://pmc-oa-opendata.s3.amazonaws.com/PMC11192741.1/41467_2024_49602_Fig6_HTML.jpg?md5=73a44303f0572d73a04a161886b6c2e7,assets/stage1_5/S15-029/S15-029_fig6.jpg,binary/octet-stream,146720,5c8f0e99bd8d6066be10236dddc4bc2bd6f837e708540ad07a42959f5f909e46,direct_contact_sheet_screened_then_aws_harvested
S15-030,2024,The ISME Journal,https://pmc.ncbi.nlm.nih.gov/articles/PMC11072679/,1,A_style_reference,environmental_gradient,experimental_2d_schematic,counter_gradient_model,high,public_mirror_allowed_cc_by,CC BY,PMC11072679.1,f1,"(A) The gradient syringe model ecosystem inoculated with the methanotroph Methylomonas sp. strain LW13; arrowhead indicates location of the horizontal band; (B) cultivation of the Lake Washington-isolated methanotrophic strains in the gradient syringe, Methylosinus sp. strain LW3 (Day 7 within the syringe), Methylocystis sp. strain LW5 (Day 7), M. tundripaludum 21/22 (Day 7), and Methylomonas sp. strain LW13 (Day 3); images are representative of three independent experiments; (C) Methane and oxygen gradients of inoculated (solid) and sterile (open) syringes after 3 days of incubation show both substrates are depleted at the same depth as the horizontal band (shaded bar) that forms within ~25 mm from the filter tip; data show the mean ± SD of three independent experiments with three technical replicates each.",https://pmc-oa-opendata.s3.amazonaws.com/PMC11072679.1/wrae060f1.jpg?md5=d9232e8b8ed0978b5e7ac9886242268a,assets/stage1_5/S15-030/S15-030_fig1.jpg,binary/octet-stream,48107,977d9b6006f67e28fb674883bfc1950c67fd32d5df88d18c5cd7f0fc62b56ec6,direct_contact_sheet_screened_then_aws_harvested
S15-031,2024,Advanced Science,https://pmc.ncbi.nlm.nih.gov/articles/PMC11497010/,1,A_style_reference,material_microbe_interface,editorial_2d_overview,modular_biohybrid_electrode,high,public_mirror_allowed_cc_by,CC BY,PMC11497010.1,advs9264-fig-0001,"Modular engineering the S. oneidensis‐carbon felt biohybrid electrode decorated with bacterial cellulose aerogel‐electropolymerized anthraquinone to boost energy and chemicals production. A modular engineering strategy, including increasing flavins synthesis and secretion, reconstructing OM c‐Cyts conductive channel, and constructing bacterial cellulose‐based aerogel coated anthraquinone hybrid anode, was adopted to boost the cell‐electrode interfacial electron transfer rate. i) To address the limitations in the biosynthesis and secretion of endogenous electron shuttle flavins, a heterologous riboflavin synthesis and delivery pathway from B. subtilis and P. aeruginosa was designed to enhance flavin‐mediated transmembrane electron transfer. ii) To mitigate the issue of the physically insulative cytomembrane of S. oneidensis, outer membrane c‐type cytochromes OmcF from G. sulfurreducens were screened and optimized using protein engineering strategies to accelerate contact‐based transmembrane electron transfer. iii) To solve the problem of high electron transfer resistance at cell‐electrode interface, an efficient bacterial cellulose aerogel‐coated anthraquinone hybrid electrode was developed to enhance the loading of living cells within the electroactive biofilm on the anode, which boosted cell‐electrode interfacial electron transfer. To evaluate the catalytic performance of the engineered biohybrid electrode in the real‐world applications, bioelectricity harvest from thin stillage, reduction of Cr6+ to Cr3+, and electrosynthesis of CO2 to formate were conducted in the dual‐chamber MFCs.",https://pmc-oa-opendata.s3.amazonaws.com/PMC11497010.1/ADVS-11-2407599-g004.jpg?md5=c3e902cb30bd902d4f2bb0bebdf6ef64,assets/stage1_5/S15-031/S15-031_fig1.jpg,binary/octet-stream,126118,4fc6d0f99da1652c9ef1e5d0946c28cd0dc9af1325f8c0639e2e645bf1fa2542,direct_contact_sheet_screened_then_aws_harvested
S15-031,2024,Advanced Science,https://pmc.ncbi.nlm.nih.gov/articles/PMC11497010/,3,B_style_reference,electron_transfer,2d_pathway_cutaway,direct_plus_flavin_eet,high,public_mirror_allowed_cc_by,CC BY,PMC11497010.1,advs9264-fig-0003,"Accelerating contacted‐based transmembrane electron transfer by reconstructing OM c‐Cyts conductive channel. a) Schematic of the outer‐membrane c‐Cyts and riboflavin promoting transmembrane electron transfer from cell to anode. b) Amino acid sequences and mutation sites of the WT and mutant OmcF M1‐M6. c) Power densities of the mutant strains MCOF1‐6. d) The interaction between c‐Cyt OmcF M5 and riboflavin molecule. e) The 2D display of the interaction between the residues of OmcF M5 and RF molecule. f) Zeta potentials of strains MCOF and MCOF1‐6. g) Plasmids of the recombinant strains MCOF5 and CR1‐4 that included the assemblage of genes (ribADEHC, bfe, oprF, and omcF M5) and different RBSs (BBa_B0030, BBa_B0032, BBa_B0033, BBa_B0034, BBa_B0035, iGEM). h) Output power density curves of strains MCOF5 and CR1‐4. i) Single‐cell output current of the recombinant strains MCOF5 and CR1‐4. j) EIS analysis of the recombinant strains MCOF5 and CR1‐4. Data were presented as mean ± SD (n = 3 biological replicates).",https://pmc-oa-opendata.s3.amazonaws.com/PMC11497010.1/ADVS-11-2407599-g003.jpg?md5=1e2e89300888b24203bd77c8340f3b6f,assets/stage1_5/S15-031/S15-031_fig3.jpg,binary/octet-stream,237362,22c01910c9971282eaf29321586190de3a5e7aec9700610bb77b96e5c605a34a,direct_contact_sheet_screened_then_aws_harvested
S15-032,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC10874420/,1,B_style_reference,experimental_workflow,flat_2d_workflow,bioelectrochemical_timeline,moderate,public_mirror_allowed_cc_by,CC BY,PMC10874420.1,Fig1,"A schematic overview of the three performed experiments.Events during the experiments such as medium refreshments, test for methane-dependent current, cyclic voltammetry (CV) and polarisation scans, activity test, and sampling for metagenomics and metatranscriptomics analysis as well as microscopy visualization are indicated. All systems in Experiment 1 were run in biological triplicate; RNA samples were collected at 0 mV in triplicate (2 biological, 1 technical replicate; n = 2), at 200 mV in triplicate (3 biological replicates, n = 3), at 400 mV in quadruplicate (3 biological replicates, 1 technical replicate, n = 3), at 600 mV in quadruplicate (3 biological replicates, 1 technical replicate, n = 3), and under nitrate growth in triplicate (3 biological replicates, n = 3). The differences in RNA samples for transcriptomics were a result of low amounts of biomass obtained and challenges associated with RNA extraction in archaea. DNA extraction for metagenomics was performed from one bioanode per experimental condition in experiment 1, and once during experiment 2.",https://pmc-oa-opendata.s3.amazonaws.com/PMC10874420.1/41467_2024_45758_Fig1_HTML.jpg?md5=c95b064101cbacab5ff598902dd90713,assets/stage1_5/S15-032/S15-032_fig1.jpg,binary/octet-stream,22339,61184c750db4ea92a64a9eedb22148c2c422eb5f74b861d1312676c0cc985a41,direct_contact_sheet_screened_then_aws_harvested
S15-032,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC10874420/,7,A_style_reference,methane_eet,flat_2d_mechanism,methane_metabolism_to_electrode,high,public_mirror_allowed_cc_by,CC BY,PMC10874420.1,Fig7,Overview of proposed metabolism from ‘Ca. Methanoperedens’ and its putative EET mechanism towards the electrode.,https://pmc-oa-opendata.s3.amazonaws.com/PMC10874420.1/41467_2024_45758_Fig7_HTML.jpg?md5=f340379579dd6525062888a2332e195d,assets/stage1_5/S15-032/S15-032_fig7.jpg,binary/octet-stream,101725,32af2d32dd69c87babca284f3593b32133097ccd2011f7203c3f84cd4ff57349,direct_contact_sheet_screened_then_aws_harvested
S15-034,2024,Advanced Materials,https://pmc.ncbi.nlm.nih.gov/articles/PMC11220693/,2,B_style_reference,material_microbe_interface,mixed_schematic_data,self_assembled_cell_material_interface,high,public_mirror_allowed_cc_by,CC BY,PMC11220693.1,advs7783-fig-0002,"Characterization of the biohybrid. a) SEM images of E. coli cells combined with PCN‐222 (Mag = 25k×) and elemental mapping of C, N, O, and Zr (inset). b) Zeta potentials of PCN‐222, E. coli, and biohybrid. c) FTIR spectra of PCN‐222, E. coli, and biohybrid in water. d) Absorbance spectra of biohybrid within 4 h. e) Light Schematic illustrations of the assembly process of biohybrid. f) Staining fluorescence image of biohybrid before 24 h dark reaction, scale bar 10 µm. g) Staining fluorescence image of biohybrid after 24 h dark reaction, scale bar 10 µm. Fluorescent dyes: propidium iodide (PI) and fluorescein Isothiocyanate (FITC).",https://pmc-oa-opendata.s3.amazonaws.com/PMC11220693.1/ADVS-11-2308597-g004.jpg?md5=37ac8047ae4f53714dbc3941492a75f5,assets/stage1_5/S15-034/S15-034_fig2.jpg,binary/octet-stream,72589,0addda2d70a296ad4ec1f2aa1b7c04b46bbecbf62c9c1d7f1a39d8b8a1112493,direct_contact_sheet_screened_then_aws_harvested
S15-034,2024,Advanced Materials,https://pmc.ncbi.nlm.nih.gov/articles/PMC11220693/,5,A_style_reference,photoelectron_transfer,flat_2d_mechanism,redox_mediator_working_mechanism,high,public_mirror_allowed_cc_by,CC BY,PMC11220693.1,advs7783-fig-0005,Analysis of released redox substances and proposed working mechanism of the biohybrid. a) HPLC analysis of the supernatant after the light reaction of the biohybrid. b) DPV measurements of fresh medium and the spent medium (supernatant collected from the light‐irradiated biohybrid after reaction) with or without PCN‐222 coated on carbon paper. c) Lysine production of E. coli and biohybrid after adding riboflavin and small molecule acids. d) Proposed mechanism for the transmembrane photoelectron delivery and their effect on intracellular biosynthesis pathways in the biohybrid.,https://pmc-oa-opendata.s3.amazonaws.com/PMC11220693.1/ADVS-11-2308597-g005.jpg?md5=74e191bd54441063c85704dd8ec14547,assets/stage1_5/S15-034/S15-034_fig5.jpg,binary/octet-stream,51952,eedbde23ee439ab30d3a28e67aa1fa46774686d720ea617ffecb19405882ab91,direct_contact_sheet_screened_then_aws_harvested
