record_id,canonical_record_id,duplicate_of,library_tier,source_manifest,source_record_id,source_type,journal,year,article_title,doi,article_url,figure_id,primary_purpose_raw,primary_purpose,style_family_raw,style_family,layout_raw,layout,information_density,classification_source,topics,asset_path,sha256,source_rights_status,rights_status,rights_override,redistribution_allowed,visual_qa_status,active_eligible,retrieval_enabled,notes
ACTIVE::S15-001::Figure 5,ACTIVE::S15-001::Figure 5,,active,manifests/stage1_5_harvested_figures.csv,S15-001,stage1_5_public_harvest,Nature Communications,2024,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11043409/,Figure 5,integrated_mechanism,integrated_mechanism,mixed_schematic_data,flat_2d_mechanism,evidence_to_model,evidence_to_model,high,inferred_from_caption,high,assets/stage1_5/S15-001/S15-001_fig5.jpg,db4891eb98d8b4de3b3a07d1f565ab151671324e727a956e8ddbf14f061bb50b,http://creativecommons.org/licenses/by/4.0/,http://creativecommons.org/licenses/by/4.0/,,true,screened_then_harvested,true,true,"A The color gradients represent the logarithm of transcripts per million (TPM) of major genes in the corresponding metagenome-assembled genomes (MAGs) classified as methanotrophs and denitrifiers, respectively, in the heavy DNA from 13 CH 4 incubation. The definitions of genes are listed in Supplementary Table 7 . B Changes in the 13 C-labeled fraction of metabolites derived from 13 CH 4 oxidation in the three typical soils. The square, circle, and triangle in ( A ) represent MAGs recovered from black soil, red soil, and yellow soil, respectively. The error bar in ( B ) represents the standard error of triplicate samples, and data are presented as mean values ± standard error ( n = 3; one-way ANOVA followed by two-sided Tukey post hoc test). Different lowercase letters in ( B ) indicate significant differences between treatments ( p < 0.05). Exact p values and Source data are provided as a Source Data file."
ACTIVE::S15-002::Figure 7,ACTIVE::S15-002::Figure 7,,active,manifests/stage1_5_harvested_figures.csv,S15-002,stage1_5_public_harvest,Nature Communications,2025,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12480950/,Figure 7,electron_transfer,electron_transfer,flat_2d_mechanism,flat_2d_mechanism,linear_electron_flow,other,medium,fallback_inference,high,assets/stage1_5/S15-002/S15-002_fig7.jpg,a37eafd285526e5e2942f64ed388946ea21007ca89ba6ca01733dd5ac9e6d0fa,http://creativecommons.org/licenses/by/4.0/,http://creativecommons.org/licenses/by/4.0/,,true,screened_then_harvested,true,true,"Electrons generated by EET microbes through glycolysis or dissimilatory sulfur reduction are transferred stepwise to extracellular electron shuttles (i.e., humic substances). These electrons are then further transferred via a series of cytochromes to denitrification enzymes. DHNA, 1,4-dihydroxy-2-naphthoyl-CoA; DMK demethylmenaquinone; IPP isopentenyl pyrophosphate; OMC outer membrane cytochrome; HPMC heme-containing periplasmic membrane-bound cytochrome; PSC periplasmic soluble cytochrome; CSC complex stabilizing cytochrome; Nap periplasmic nitrate reductase; Nar membrane-bound nitrate reductase; Nir nitrite reductase; Nor nitric oxide reductase; Nos nitrous oxide reductase."
ACTIVE::S15-003::Figure 1,ACTIVE::S15-003::Figure 1,,active,manifests/stage1_5_harvested_figures.csv,S15-003,stage1_5_public_harvest,Nature Communications,2025,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12521356/,Figure 1,material_interface,electron_transfer,editorial_2d_overview,editorial_2d_overview,architecture_taxonomy,other,medium,fallback_inference,high,assets/stage1_5/S15-003/S15-003_fig1.jpg,884567c3a7e3e628ed85d799574bf9ef33bed23724e138c5fa6bbf85e9207976,http://creativecommons.org/licenses/by/4.0/,http://creativecommons.org/licenses/by/4.0/,,true,screened_then_harvested,true,true,"a Representative biocatalyst schemes from subcellar to whole-cell system; Structure schemes of two kinds of bio-hybrid PEC systems: b Type I, abiotic conductive electrode + biotic catalyst system; c Type II, abiotic light-harvesting semiconductor + biotic catalyst."
ACTIVE::S15-003::Figure 3,ACTIVE::S15-003::Figure 3,,active,manifests/stage1_5_harvested_figures.csv,S15-003,stage1_5_public_harvest,Nature Communications,2025,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12521356/,Figure 3,material_interface,material_microbe_interface,flat_2d_workflow,editorial_2d_overview,device_comparison,mirrored_comparison,medium,inferred_from_caption,high,assets/stage1_5/S15-003/S15-003_fig3.jpg,ccf67aaa9907a4a80f8b57490e9fffe98307ff0aca91fe682736424c2ce0393c,http://creativecommons.org/licenses/by/4.0/,http://creativecommons.org/licenses/by/4.0/,,true,screened_then_harvested,true,true,Device structure of the H-cell with enzyme as the bio-catalyst and flow-cell with whole cell microbials as the bio-catalyst.
ACTIVE::S15-004::Figure 1,ACTIVE::S15-004::Figure 1,,active,manifests/stage1_5_harvested_figures.csv,S15-004,stage1_5_public_harvest,Chemical Reviews,2026,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC13107470/,Figure 1,integrated_mechanism,integrated_mechanism,editorial_2d_overview,editorial_2d_overview,central_hub,central_hub,high,inferred_from_caption,high,assets/stage1_5/S15-004/S15-004_fig1.jpg,91e01d40d55532a5d436428eaee8dd9d4ab2d30433d6ba9472196ab589b32ed1,CC-BY,CC-BY,,true,screened_then_harvested,true,true,"Schematic illustration of unravelling microbe–semiconductor interfacial electron transfer for efficient solar-driven biosynthesis: fundamentals and mechanisms, current design of microbe–semiconductor biohybrid interfaces, characterizations of biohybrid interfacial electron transfer, and future opportunities and outlook."
ACTIVE::S15-005::Figure 2,ACTIVE::S15-005::Figure 2,,active,manifests/stage1_5_harvested_figures.csv,S15-005,stage1_5_public_harvest,Nature Communications,2026,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC13284237/,Figure 2,electron_transfer,electron_transfer,mixed_schematic_data,flat_2d_mechanism,experimental_electron_flow,layered_gradient,medium,inferred_from_caption,high,assets/stage1_5/S15-005/S15-005_fig2.jpg,ba97fa557225f84296d0f6db43216cea3c1deb519db87ecb6433a04adee4e225,http://creativecommons.org/licenses/by/4.0/,http://creativecommons.org/licenses/by/4.0/,,true,screened_then_harvested,true,true,"a Schematic of the batch microcosm where light, Sb(V), AQS (a proxy for quinone-like moieties in photosensitive DOM) and live biomass are all required to support PESbR. b Sb(V) reduction rates in the complete PESbR treatment compared with controls lacking one component (no AQS, no light, no added Sb(V) or sterile sediment) and with heterotrophic systems amended with lactate or acetate. c Schematic of the dual-chamber microcosm with an illuminated anode and a dark, anaerobic cathode containing Sb(V) and sediment slurry to test photoelectron transfer. d Photoelectrons generated from the illuminated anode drove Sb(V) reduction and Sb(III) generation in the cathode chamber. Data are presented as mean values ± SD."
ACTIVE::S15-005::Figure 5,ACTIVE::S15-005::Figure 5,,active,manifests/stage1_5_harvested_figures.csv,S15-005,stage1_5_public_harvest,Nature Communications,2026,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC13284237/,Figure 5,integrated_mechanism,integrated_mechanism,flat_2d_mechanism,flat_2d_mechanism,evidence_to_model,evidence_to_model,high,inferred_from_caption,high,assets/stage1_5/S15-005/S15-005_fig5.jpg,4b86cbd36c5e73280c95af5325432931741e528e4b3d09245f8ffb4ddbeaa6a7,http://creativecommons.org/licenses/by/4.0/,http://creativecommons.org/licenses/by/4.0/,,true,screened_then_harvested,true,true,"a Schematic of the PESbR pathway showing the generation, transfer and utilization of photoelectrons for sustainable Sb(V) reduction. b Metatranscriptomic responses in PESbR microcosms relative to controls. c Isolation from sediments corresponding to two PESbR-associated genera, Sphingomonas and Bosea . d Sb(V) reduction by the isolates in pure-culture PESbR microcosms under light–dark cycles. e qPCR assays showing higher relative abundance of Sb(V) reduction-associated genes in light-exposed isolates compared with dark controls (16S-normalized). Data are presented as mean values ± SE."
ACTIVE::S15-010::Figure 4,ACTIVE::S15-010::Figure 4,,active,manifests/stage1_5_wave2_harvested_figures.csv,S15-010,stage1_5_public_harvest,Nature Communications,2024,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC10954620/,Figure 4,electron_transfer,electron_transfer,mixed_schematic_data,flat_2d_mechanism,linear_transfer_plus_evidence,other,medium,fallback_inference,high,assets/stage1_5/S15-010/S15-010_fig4.jpg,597996eedb7c2f7a51499cc45b49a7a8e3c7fe02eae724863dcd30e16cf09a29,public_mirror_allowed_cc_by,public_mirror_allowed_cc_by,,true,direct_contact_sheet_screened_then_aws_harvested,true,true,"PpcA injects electrons into OmcS nanowires with differing efficiency, with PpcC showing the largest interaction with OmcS.a Strategy to measure PpcA (red) injecting electrons into OmcS (gray) with corresponding hemes in reduced (dark brown or dark blue) and oxidized (light brown or light blue) states. b Representative NMR spectra showing PpcA oxidation. c Change in the chemical shift of color-coded PpcA-E heme methyls upon binding to OmcS nanowires (PpcA – orange; PpcB – green; PpcC – purple; PpcD – yellow; PpcE – blue). The most affected heme substituents are indicated in PpcA’s heme core (PDB ID: 2MZ9)."
ACTIVE::S15-014::Figure 1,ACTIVE::S15-014::Figure 1,,active,manifests/stage1_5_wave2_harvested_figures.csv,S15-014,stage1_5_public_harvest,Nature Communications,2025,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12638906/,Figure 1,integrated_mechanism,integrated_mechanism,flat_2d_mechanism,flat_2d_mechanism,central_organism_circular_flow,evidence_to_model,high,inferred_from_caption,high,assets/stage1_5/S15-014/S15-014_fig1.jpg,b2a73d80d87344ebea5dd7955170232ebfd25f30d92998b9237b49f103237da7,public_mirror_allowed_cc_by,public_mirror_allowed_cc_by,,true,direct_contact_sheet_screened_then_aws_harvested,true,true,"Construction of the electroactive microorganism-triggered reversible addition-fragmentation chain-transfer (RAFT) polymerization system by photoexcited extracellular electron transfer of the genetically engineered Shewanella oneidensis.First, the engineered S. oneidensis was constructed by synthetic biology approach to heterologously express the flavins synthesis pathway from Bacillus subtilis and the pore protein OprF from Pseudomonas aeruginosa in S. oneidensis, which enhanced flavins biosynthesis and transportation. Second, flavins acted as the electron mediators that integrated microbial extracellular electron transfer (EET) and photoinduced electron transfer (PET) to reduce the chain transfer agent (CTA, i.e., thiocarbonylthio) for generation of free radicals, which triggered the microorganism-mediated RAFT polymerization. In this process, the electron transfer pathways included three steps: (i) production of electrons by engineered S. oneidensis through D-lactate metabolism via intracellular electron transfer process; (ii) flavins reduction via the EET process; and (iii) CTA reduction via PET. Specifically, the electrons produced by metabolizing D-lactate in S. oneidensis transferred via the cytoplasmic membrane protein CymA, which reduced periplasmic proteins that transferred electrons to the Mtr-pathway (i.e., electrons transferred through MtrA to MtrC and OmcA). Then, electrons transferred to the endogenously secreted flavins. Bioreduction of flavins (FL) via EET generated the fully reduced flavins hydroquinone (FLhq). Photoexcitation of FLhq led to the formation of a photoexcited intermediate FLhq*, which reduced CTA via PET to produce free radicals, initiating the RAFT polymerization."
ACTIVE::S15-014::Figure 2,ACTIVE::S15-014::Figure 2,,active,manifests/stage1_5_wave2_harvested_figures.csv,S15-014,stage1_5_public_harvest,Nature Communications,2025,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12638906/,Figure 2,electron_transfer,electron_transfer,2d_pathway_cutaway,pathway_cutaway_2d,redox_reaction_chain,other,medium,fallback_inference,high,assets/stage1_5/S15-014/S15-014_fig2.jpg,00efc0c93ff4c7bb5e67fd1177a69b6f92e68e3a41f2249ab8d29a540f11e871,public_mirror_allowed_cc_by,public_mirror_allowed_cc_by,,true,direct_contact_sheet_screened_then_aws_harvested,true,true,"Insights from thermodynamic analyses of the S. oneidensis-triggered RAFT polymerization.a Electrons generated from S. oneidensis reduce flavins from the oxidized flavins to the fully reduced FLhq. The reduced electron mediator FLhq reacts with CTA1 (2-ethylsulfanylthiocarbonylsulfanyl-propionic acid methyl ester) to produce radical (black arrow, left), whereas the reduction reaction was thermodynamically infeasible. Upon the blue light irradiation, FLhq was excited to its excited state FLhq*, which enabled transfer of the electrons to CTA1 to generate radicals via PET (green arrow, right). b 1H NMR spectra of the monomer N, N-dimethylacrylamide (DMA) in the mixture of S. oneidensis, DMA, CTA1, and exogenously added flavins (riboflavin (RF) or FMN), where no radical polymerization was observed. And 1H NMR spectra of the Poly(N, N-dimethylacrylamide) (PDMA) polymer synthesized in the polymerization system upon photoexcitation using riboflavin or FMN as the electron mediator, respectively. c Calculated Gibbs energy profile of the electron transfer pathways from flavins (riboflavin or FMN) to CTA1. Source data were provided as a Source Data file."
