sample_id,source_type,zotero_item_key,attachment_key,journal,journal_tier,article_title,year,doi,figure_id,pdf_page,caption,relevance_score,target_primary_purpose,asset_visibility,asset_path,pixel_width,pixel_height,sha256,license_status,redistribution_allowed,counted_toward_private_100,visual_inspection_status,notes,topics,crop_bbox_pt,dpi,third_party_risk,source_pdf_sha256
ZOT-KRUDZRWN-XBZRQ7D5-FIG1-P3,zotero_pdf,KRUDZRWN,XBZRQ7D5,Bioresource Technology,secondary,Functional genes and microbial interactions governing methanogenesis via direct interspecies electron transfer: Functions and emerging concepts,2026,10.1016/j.biortech.2026.134086,Figure 1,3,"Fig. 1. Schematic representation of proposed mechanisms of DIET mechanism in AD. (a) Pili-based electron transfer through Type IV conductive pili (PilA) enabling direct electron exchange between microbial partners. (b) Outer-membrane c-type cytochrome-mediated transfer via redox-active proteins (e.g., OmcS, OmcZ) forming electron conduits. (c) Conductive material-assisted DIET pathway, where carbon- and iron-based materials (biochar, magnetite) serve as electron bridges between exoelectrogens and methanogens. Arrows indicate electron flow (e−) and syntrophic interaction routes facilitating enhanced methane production.",115,electron_transfer,private_local,C:\Users\25019609r\scientific-figure-corpus-private\zotero\Bioresource-Technology\KRUDZRWN\ZOT-KRUDZRWN-XBZRQ7D5-FIG1-P3.png,1797,1017,582effb25e2b0cbf53e533012b536e6f370f9ec9d5ada6f17af5f3b376eb6695,not_verified_private_reference_only,false,true,complete,"Private reference only; caption-based selection; verify against source PDF. Source PDF and rendered crop visually compared 2026-09-11: full figure, matching caption, readable resolution, useful schematic or integrated layout. Private use only; rights not cleared.",methane_methanotrophy;microbial_cross_feeding;electron_transfer;oxygen_redox_interfaces;material_microbe_interfaces;environmental_microbiology_engineering,"39.14,51.41,556.18,344.10",250,not_detected_in_caption_not_cleared,1ee339e56ab2c491e6dcbeaf91bda6f3a88cd0a17cc62b597693fb01efd6bc26
ZOT-KRUDZRWN-XBZRQ7D5-FIG4-P6,zotero_pdf,KRUDZRWN,XBZRQ7D5,Bioresource Technology,secondary,Functional genes and microbial interactions governing methanogenesis via direct interspecies electron transfer: Functions and emerging concepts,2026,10.1016/j.biortech.2026.134086,Figure 4,6,"Fig. 4. (a) Conceptual illustration of electron transfer between exoelectrogenic and endoelectrogenic microorganisms during DIET-mediated methanogenesis. Exoelectrogens (e.g., Geobacter spp.) oxidize substrates and transfer electrons via conductive pili (PilA), cytochromes (OmcS, OmcZ), and associated complexes (Rnf, PpaA, HydAB), which are accepted by methanogens through key redox enzymes (Fmd, Ftr, Mer, Mtr, Mcr) leading to methane formation. (b) Substrate-specific metabolic conversion pathways showing the transformation of food waste, complex polymers, and lignocellulosic biomass into intermediates (propionate, ethanol, butyrate, acetate) and subsequent acetoclastic and hydrogenotrophic methanogenesis. Coloured boxes represent the dominant microbial groups associated with each substrate. (c) Functional genes and enzyme complexes involved in DIET-driven electron transfer and methanogenesis. The colour indicators denote gene regulation patterns in response to conductive materials: blue = increased relative abundance with carbon-based materials; yellow = increased relative abundance with iron-based materials; red = decreased relative abundance with iron-based materials.",106,electron_transfer,private_local,C:\Users\25019609r\scientific-figure-corpus-private\zotero\Bioresource-Technology\KRUDZRWN\ZOT-KRUDZRWN-XBZRQ7D5-FIG4-P6.png,1801,995,9b9a6f5634ab5ed58e40b6157ee6ecc5cbe0cc5aa041acc82979972e326bea68,not_verified_private_reference_only,false,true,complete,"Private reference only; caption-based selection; verify against source PDF. Source PDF and rendered crop visually compared 2026-09-11: full figure, matching caption, readable resolution, useful schematic or integrated layout. Private use only; rights not cleared.",methane_methanotrophy;microbial_cross_feeding;electron_transfer;soluble_donors_mediators;oxygen_redox_interfaces;material_microbe_interfaces;environmental_microbiology_engineering,"38.52,376.22,556.71,662.43",250,not_detected_in_caption_not_cleared,1ee339e56ab2c491e6dcbeaf91bda6f3a88cd0a17cc62b597693fb01efd6bc26
ZOT-J5XG9Z5E-I4IT3A4W-FIG4-P5,zotero_pdf,J5XG9Z5E,I4IT3A4W,Science Advances,secondary,"Syntrophic interspecies electron transfer drives carbon fixation and growth by <i>Rhodopseudomonas palustris</i> under dark, anoxic conditions",2021,10.1126/sciadv.abh1852,Figure 4,5,"Fig. 4. Pathways of IET and dark CO2 fixation in G. metallireducens and R. palustris coculture. (A) Electrosyntrophy (i.e., IET) between G. metallireducens and R. palustris and dark CO2 fixation by R. palustris. Red arrows illustrate electron transfer paths from G. metallireducens to R. palustris. Green lines show the path of dark CO2 fixa- tion. The blue dashed square indicates the region selected to detail the electron uptake pathway in R. palustris shown in (B). Inset heat maps show the transcript abundances of related annotated genes involved in the corresponding pathway in G. metallireducens and R. palustris presented as log2 FPKM values (fragments per kilobase per million mapped reads). The median log2 FPKM values for G. metallireducens and R. palustris in the coculture were 7.5 and 6.5, respectively. (B) Detailed pathway of electron uptake in R. palustris during electric syntrophy with G. metallireducens. (1) Acyl-CoA (coenzyme A) synthetase; (2) and (4) NADH dehydrogenase complex; (3) c-type cytochromes, e-pili and flagella of G. metallireducens; (5) nanofilaments and (6) c-type cytochromes of R. palustris; (7) cytochrome c2; (8) ubiquinol:cytochrome c oxidoreductase complex; (9) nitrate reductase; (10) ATPase; (11) RuBisCo form II; (12) enzymes participating in the CBB cycle. OM, outer membrane; IM, inner membrane; ES, electron shuttles.",97,electron_transfer,private_local,C:\Users\25019609r\scientific-figure-corpus-private\zotero\Science-Advances\J5XG9Z5E\ZOT-J5XG9Z5E-I4IT3A4W-FIG4-P5.png,904,1041,a862fc673ac2757b25bac1d3fad0ad93243582efd07b65f1702c999e130c201a,not_verified_private_reference_only,false,true,complete,"Private reference only; caption-based selection; verify against source PDF. Source PDF and rendered crop visually compared 2026-09-11: full figure, matching caption, readable resolution, useful schematic or integrated layout. Private use only; rights not cleared.",RP_carbon_fixation;microbial_cross_feeding;electron_transfer;soluble_donors_mediators;oxygen_redox_interfaces,"33.50,56.00,293.50,355.56",250,not_detected_in_caption_not_cleared,175bc1d2fec9bee344d31c97f8e3d7e973904d62ae625b0bf97ea04f60f77b05
ZOT-DBURERI2-8GGDPTWB-FIG3-P7,zotero_pdf,DBURERI2,8GGDPTWB,FEMS Microbiology Ecology,other,Electrogenic CH4 oxidation on a bioanode: putative extracellular electron transport system in                     <i>Methylobacter</i>                     sp,2026,10.1093/femsec/fiag067,Figure 3,7,"Figure 3 Metabolic reconstruction and predicted EET architecture of the Methylobacter MAG. (A) Schematic overview of pathways encoded by the genome, including methane oxidation by particulate and soluble methane mono-oxygenases (pMMO, sMMO) and methanol dehydrogenase (MDH). The particulate methane mono-oxygenase corresponds to a canonical pmoCAB gene cluster, and the soluble methane mono-oxygenase to mmoXYZBDC. Methanol dehydrogenases include both calcium-dependent Mxa-type ( mxaF ) and lanthanide-dependent XoxF-type ( xoxF ) enzymes. Formaldehyde oxidation and assimilation via the ribulose monophosphate (RuMP) pathway and C1 -processing enzymes (Fae, formaldehyde-activating enzyme; MtdB, methylene-tetrahydromethanopterin dehydrogenase; Mch, methenyl-H4 MPT cyclohydrolase; Ftr, formyltransferase; Fwd, formylmethanofuran dehydrogenase). Sulfur metabolism comprises the Sox multienzyme complex (SoxABCDXY), sulfide: quinone oxidoreductase (SQR), and sulfide dehydrogenase (FccAB). The respiratory chain comprises NADH: quinone oxidoreductase (Nuo), cytochrome bc1 , cytochrome aa3 oxidase, and bd - and o -type quinol oxidases. The RNF complex functions as a ferredoxin: NAD+ oxidoreductase. “C” denotes c -type cytochromes, 4 TMR indicates the inner membrane-anchored cytochrome, and the outer membrane conduit is depicted as a PCC-like (porin-cytochrome complex). (B) Organization of a putative extracellular EET gene cluster (locus tags 2045–2048) with predicted protein structures including signal peptides. (C) Predicted trans-envelope architecture of the EET conduit. Protein structures of 2046–2047 were generated as a complex, whereas 2045 and 2048 were modeled separately; models were generated without signal peptides. Arrows indicate outward electron transfer toward extracellular acceptors.",96,electron_transfer,private_local,C:\Users\25019609r\scientific-figure-corpus-private\zotero\FEMS-Microbiology-Ecology\DBURERI2\ZOT-DBURERI2-8GGDPTWB-FIG3-P7.png,1477,1881,5314c365760cfafcca689d1d6d97f8447c2f11f39390096616bd56e261f927dd,not_verified_private_reference_only,false,true,complete,"Private reference only; caption-based selection; verify against source PDF. Source PDF and rendered crop visually compared 2026-09-11: full figure, matching caption, readable resolution, useful schematic or integrated layout. Private use only; rights not cleared.",methane_methanotrophy;electron_transfer;soluble_donors_mediators;oxygen_redox_interfaces,"82.03,52.90,507.07,594.24",250,not_detected_in_caption_not_cleared,ff1ddf95d5a3826045699060f80901fc753766fa6ce5b967053542fe863cbf5f
ZOT-VVKBH8NA-NEQH4DHJ-FIG2-P3,zotero_pdf,VVKBH8NA,NEQH4DHJ,Electrochemistry,other,Electrochemical Monitoring of Metabolic Activity of Methane/Methanol Conversing <i>Methylococcus Capsulatus</i> (Bath) Cells Based on Extracellular Electron Transfer,2024,10.5796/electrochemistry.23-68120,Figure 2,3,Figure 2. The metabolic pathway in M. capsulatus (Bath) for CH4/CH3OH conversion. ADP: adenosine diphosphate. ATP: adenosine triphosphate. Cytaa3: cytochrome aa3. Cytbc1: cytochrome bc1. Cytbd: cytochrome bd. CytC: cytochrome C. NAD+/NADH: nicotinamide adenine dinucleotide. NDH: NADH dehydrogenase. pMMO: particulate methane monooxygenase. sMMO: soluble methane monooxygenase. UQ/UQH2: ubiquinone/ubiquinol.,95,metabolic_pathway,private_local,C:\Users\25019609r\scientific-figure-corpus-private\zotero\Electrochemistry\VVKBH8NA\ZOT-VVKBH8NA-NEQH4DHJ-FIG2-P3.png,1323,1185,a0e3520f75ce421b72ea1f4f61deef6e4e4220bf84698989d8a980b15855d3d4,not_verified_private_reference_only,false,true,complete,"Private reference only; caption-based selection; verify against source PDF. Source PDF and rendered crop visually compared 2026-09-11: full figure, matching caption, readable resolution, useful schematic or integrated layout. Private use only; rights not cleared.",methane_methanotrophy;electron_transfer;soluble_donors_mediators;oxygen_redox_interfaces,"107.26,260.62,488.06,601.57",250,not_detected_in_caption_not_cleared,b55a13b9e4eeaee067303a9954feaf0b469b6c268c3b6289cf2be66f5fb24029
ZOT-3MNSQTVZ-9K59TG86-FIG4-P7,zotero_pdf,3MNSQTVZ,9K59TG86,Bioresource Technology,secondary,Synthetic microbial community drive methane oxidation coupled to Cr(VI) reduction via division of labor and extracellular electron transfer,2026,10.1016/j.biortech.2026.134546,Figure 4,7,"Fig. 4. (a) Methane metabolism pathway (Ru5P: Ribulose 5-phosphate; H6P: arabino-Hex-3-ulose 6-phosphate; F6P: Fructose 6-phosphate; F1,6P: Fructose 1,6- bisphosphate; G3P: Glyceraldehyde 3-phosphate; R5P: Ribose 5-phosphate; Xu5P: Xylulose 5-phosphate; E4P: Erythrose 4-phosphate; Su7P: Sedoheptulose 7-phos­ phate); (b) Key genes involved in chromate reduction in the twelve MAGs (chrA and chrR); (c) Key genes involved in the EET in the twelve MAGs; (d) Schematic diagram of EET; (e) Variation of Cr(VI) concentration in the inhibition experiment; (f) CH4 consumption and inhibition rate in the inhibition experiment.",94,integrated_mechanism,private_local,C:\Users\25019609r\scientific-figure-corpus-private\zotero\Bioresource-Technology\3MNSQTVZ\ZOT-3MNSQTVZ-9K59TG86-FIG4-P7.png,1409,2154,7770d817969b13e3145fb4ac7fe3c67ca088478e1d9779328af660014ca94721,not_verified_private_reference_only,false,true,complete,"Private reference only; caption-based selection; verify against source PDF. Source PDF and rendered crop visually compared 2026-09-11: full figure, matching caption, readable resolution, useful schematic or integrated layout. Private use only; rights not cleared.",methane_methanotrophy;electron_transfer;environmental_microbiology_engineering,"94.76,51.41,500.49,671.56",250,not_detected_in_caption_not_cleared,185fff4fa6f14c694b81fd7e5e7e3bbed5e2632162c62bac6164364dc3c6bb82
ZOT-FCN7YRTW-MJYP7MYI-FIG6-P8,zotero_pdf,FCN7YRTW,MJYP7MYI,Environmental Science & Technology,core,Carbon Reallocation Driven by Aerobic–Anoxic Alternation during Methanotrophic Metabolism,2026,10.1021/acs.est.5c07417,Figure 6,8,Figure 6. Schematic diagram of metabolic flux and the regulation mechanism by aerobic−anoxic alternation.,92,metabolic_pathway,private_local,C:\Users\25019609r\scientific-figure-corpus-private\zotero\Environmental-Science-Technology\FCN7YRTW\ZOT-FCN7YRTW-MJYP7MYI-FIG6-P8.png,1211,573,b6daada9075ae6ad94fdebe887788a6a8ec9e7c474c49a0aa908f1ff61c42e1f,not_verified_private_reference_only,false,true,complete,"Private reference only; caption-based selection; verify against source PDF. Source PDF and rendered crop visually compared 2026-09-11: full figure, matching caption, readable resolution, useful schematic or integrated layout. Private use only; rights not cleared.",methane_methanotrophy;oxygen_redox_interfaces,"128.58,56.13,477.04,220.87",250,not_detected_in_caption_not_cleared,174592bed9e0cea96fc248013c2b432eb76af6ed519fcdc9808f166677f3fba6
ZOT-J5XG9Z5E-I4IT3A4W-FIG5-P6,zotero_pdf,J5XG9Z5E,I4IT3A4W,Science Advances,secondary,"Syntrophic interspecies electron transfer drives carbon fixation and growth by <i>Rhodopseudomonas palustris</i> under dark, anoxic conditions",2021,10.1126/sciadv.abh1852,Figure 5,6,"Fig. 5. Strategies of CO2 fixation by R. palustris under anoxic conditions. (A) Two conventional pathways of light-dependent CO2 fixation in R. palustris, includ- ing photoheterotrophy and photoautotrophy. (B) Syntrophic light-independent electroautotrophy. Analytical techniques Acetate consumption by monocultures and coculture of G. metallireducens and R. palustris was monitored using ultrahigh-performance liquid chromatography (U-3000, Thermo Fisher Scientific, Massachusetts, USA), as described previously with an Aminex HPX-87H column (Bio-Rad, Hercules, USA) and detected at 210 nm by an ultraviolet detector (11). Nitrate was measured with an ion chromatograph (ICS 900, Thermo Fisher Scientific), as previously described (44).",92,microbial_interaction,private_local,C:\Users\25019609r\scientific-figure-corpus-private\zotero\Science-Advances\J5XG9Z5E\ZOT-J5XG9Z5E-I4IT3A4W-FIG5-P6.png,904,469,8f90d35cfc18007dcaac0349702d94ed73ca00aceb256fbb7d18e661e2b8bad3,not_verified_private_reference_only,false,true,complete,"Private reference only; caption-based selection; verify against source PDF. Source PDF and rendered crop visually compared 2026-09-11: full figure, matching caption, readable resolution, useful schematic or integrated layout. Private use only; rights not cleared.",RP_carbon_fixation;microbial_cross_feeding;electron_transfer;soluble_donors_mediators;oxygen_redox_interfaces,"33.50,56.00,293.50,190.73",250,not_detected_in_caption_not_cleared,175bc1d2fec9bee344d31c97f8e3d7e973904d62ae625b0bf97ea04f60f77b05
ZOT-B5DYAD9Y-38F3E98C-FIG3-P5,zotero_pdf,B5DYAD9Y,38F3E98C,Water Research,core,Iron oxides act as an alternative electron acceptor for aerobic methanotrophs in anoxic lake sediments,2023,10.1016/j.watres.2023.119833,Figure 3,5,"Fig. 3. Key genes and potential mechanisms of extracellular electron transfer in the consortium. (a) Key genes involved in extracellular electron transfer in the six MAGs. ubiquinol c1: cytochrome c reductase cytochrome c1 subunit; ubiquinol b: cytochrome c reductase cytochrome b subunit; pilA: type IV pilus assembly protein PilA; blueB: 5,6-dimethylbenzimidazole synthase; C1-hpah: 4-hydroxyphenylacetate 3-hydroxylase; fre: aquacobalamin reductase; phoN: acid phosphatase (class A); ribA: GTP cyclohydrolase II; ribBA: 3,4-dihydroxy 2-butanone 4-phosphate synthase; ribD: diaminohydroxyphosphoribosylaminopyrimidine deaminase; ribE: ribo­ flavin synthase; ribF: riboflavin kinase; ribH: 6,7-dimethyl-8-ribityllumazine synthase; ssuE: FMN reductase; yigB: FMN hydrolase. (b) The potential extracellular electron transfer mechanism in the consortium. I, II, III and IV denote to the four complexes involved in intracellular respiration; Q: coenzyme Q; MHC: multiheme c- type cytochromes. The pathway 1 represents intracellular aerobic respiration by using O2 as the electron acceptor. The pathway 2-4 represent extracellular electron transfer pathways by putative multiheme c-type cytochromes (MHC), electron shuttles and electrically conductive pili (e-pili), respectively.",89,electron_transfer,private_local,C:\Users\25019609r\scientific-figure-corpus-private\zotero\Water-Research\B5DYAD9Y\ZOT-B5DYAD9Y-38F3E98C-FIG3-P5.png,1653,769,c8d38705b85afe2bd1805daa74945a7cf50c5e5243a08a0d0c9964c7a963d1b6,not_verified_private_reference_only,false,true,complete,"Private reference only; caption-based selection; verify against source PDF. Source PDF and rendered crop visually compared 2026-09-11: full figure, matching caption, readable resolution, useful schematic or integrated layout. Private use only; rights not cleared.",methane_methanotrophy;electron_transfer;soluble_donors_mediators;oxygen_redox_interfaces;material_microbe_interfaces,"59.67,389.18,535.67,610.33",250,not_detected_in_caption_not_cleared,20dbbb21c76c227ea220bb469a6e757d98e9ba1d66a5c0091c2111afb7d5de47
ZOT-2IMW52SF-9CSAUBPH-FIG2-P4,zotero_pdf,2IMW52SF,9CSAUBPH,Nature Communications,core,Phototrophic extracellular electron uptake is linked to carbon dioxide fixation in the bacterium Rhodopseudomonas palustris,2019,10.1038/s41467-019-09377-6,Figure 2,4,"Fig. 2 Photosynthetic electron transfer is required for extracellular electron uptake. Current densities of TIE-1 wild-type (WT) in response to inhibition of the photosynthetic ETC under illuminated and dark (shaded regions) conditions with (a) antimycin A, (b) carbonyl cyanide m-chlorophenyl hydrazine (CCCP), and (c) rotenone. Data shown are representative of three experiments. Each current density diagram (left) is followed by the proposed path of electron ﬂow (right). The site of chemical inhibition is indicated by a red halo on the electron path diagrams. P870 (photosystem), P870* (excited photosystem), UQ (ubiquinone), bc1 (cytochrome bc1), c2 (cytochrome c2), NADH-DH (NADH dehydrogenase), Δp (proton gradient), H+ (protons), hv (light), ? (currently unknown), PMF (proton motive force) and ATP (adenosine triphosphate). Source data are provided as a Source Data File",88,comparative_perturbation,private_local,C:\Users\25019609r\scientific-figure-corpus-private\zotero\Nature-Communications\2IMW52SF\ZOT-2IMW52SF-9CSAUBPH-FIG2-P4.png,1302,1625,e33891f401271ea4e204ed870b80723c39725b525adae3acb8999244ac407d77,not_verified_private_reference_only,false,true,complete,"Private reference only; caption-based selection; verify against source PDF. Source PDF and rendered crop visually compared 2026-09-11: full figure, matching caption, readable resolution, useful schematic or integrated layout. Private use only; rights not cleared.",RP_carbon_fixation;electron_transfer;soluble_donors_mediators,"111.26,47.64,486.14,515.28",250,not_detected_in_caption_not_cleared,d74ccfd36d619f7f5663b007775a7f3277d6218ceecf88e388b97097c1fc1bfc
