canonical_id,priority,decomposition_status,note_file,summary_status,batch
M001,medium,queued,,pending,batch3
M002,medium,queued,,pending,batch3
M003,high,queued,,pending,batch2
M004,high,queued,,pending,batch2
M005,high,queued,,pending,batch2
M006,high,queued,,pending,batch2
M007,medium,queued,,pending,batch3
M008,medium,queued,,pending,batch3
M009,medium,queued,,pending,batch3
M010,medium,queued,,pending,batch3
M011,high,queued,,pending,batch2
M012,high,queued,,pending,batch2
M013,high,queued,,pending,batch2
M014,high,queued,,pending,batch2
M015,high,completed,notes/M015.md,complete,batch1
M016,high,completed,notes/M016.md,complete,batch1
M017,high,completed,notes/M017.md,complete,batch1
M018,high,completed,notes/M018.md,complete,batch1
M019,high,completed,notes/M019.md,complete,batch1
M020,high,completed,notes/M020.md,complete,batch1
M021,high,completed,notes/M021.md,complete,batch1
